C02-1122 ==> H01-1043:0.9578, C04-1174:0.9563, W02-1608:0.9258, I08-2110:0.9224, P09-2052:0.8665, N06-1023:0.8437, I05-1005:0.8289, P06-1022:0.7841, D07-1032:0.7799, P02-1028:0.7798
C14-1176 ==> P13-2106:0.9243, P12-2004:0.9184, D10-1117:0.9128, W10-2905:0.9074, D13-1118:0.9053, P11-2127:0.9010, N10-1081:0.8965, D12-1021:0.8938, P13-1148:0.8922, P10-1112:0.8917
C14-1025 ==> E06-2006:0.9017, P13-1134:0.8927, E12-1059:0.8883, W13-5003:0.8844, Q13-1013:0.8834, S14-1005:0.8825, D14-1046:0.8789, N10-1037:0.8742, L08-1551:0.8720, P12-3026:0.8659
D07-1067 ==> W03-1009:0.8712, P02-1026:0.8616, N09-1075:0.8586, W10-2006:0.8579, W04-2002:0.8567, W02-1035:0.8444, P10-1119:0.8442, N04-1011:0.8388, W01-1201:0.8380, W04-3210:0.8369
W13-2502 ==> D14-1129:0.8712, C10-2055:0.8626, W08-1403:0.8469, N13-1075:0.8444, W13-2514:0.8404, L08-1582:0.8375, D13-1109:0.8364, W13-2505:0.8360, P13-2038:0.8339, P13-1040:0.8311
C02-1025 ==> P02-1061:0.8021, W03-0423:0.7884, W03-0432:0.7832, W03-0420:0.7192, P03-1020:0.7171, W03-0428:0.7121, W02-2022:0.6926, W03-0431:0.6862, A00-1044:0.6833, W02-2031:0.6788
W14-0504 ==> N12-1045:0.8428, Q13-1021:0.8324, P12-1020:0.8286, W10-2911:0.8079, J11-3001:0.8035, W11-2205:0.8032, W10-2809:0.8010, W13-2603:0.7949, W11-0301:0.7943, N09-1024:0.7937
N09-2018 ==> W04-2010:0.9864, P06-2077:0.9660, I05-2018:0.9655, L08-1458:0.9591, W09-2409:0.9587, C10-1137:0.9457, W14-5708:0.9233, W05-0603:0.9126, N07-2002:0.8952, W07-1602:0.8921
P06-2029 ==> P06-1041:0.9612, P06-1037:0.9354, W08-1004:0.8980, W07-1506:0.8811, L08-1151:0.8758, L08-1213:0.8719, J13-1006:0.8643, W08-1003:0.8521, C10-2135:0.8509, P06-1023:0.8506
P10-1033 ==> P11-2066:0.9454, N10-1033:0.9232, Q13-1020:0.9123, C10-2084:0.9100, P11-2029:0.9097, D12-1079:0.9049, P09-1020:0.9043, D13-1026:0.9037, D14-1197:0.9031, P08-2038:0.9029
W14-4314 ==> P12-3018:0.9918, W12-1808:0.9891, W14-4315:0.9887, W12-1806:0.9856, E09-1085:0.9823, W11-0144:0.9810, W12-1638:0.9787, E12-1052:0.9778, W11-2014:0.9694, W11-2015:0.9669
D12-1037 ==> P11-1127:0.9379, D12-1041:0.9264, P13-2072:0.9195, P12-1032:0.9194, N12-1026:0.9189, W12-4207:0.9187, W14-1616:0.9185, W07-0731:0.9182, D10-1091:0.9161, D13-1081:0.9158
P10-1103 ==> E14-4041:0.9595, W10-4235:0.9557, W09-3916:0.9522, E09-1078:0.9341, D12-1008:0.9290, E12-3003:0.9289, P10-1008:0.9288, W12-1509:0.9218, W11-2011:0.9022, D12-1007:0.9006
W06-0206 ==> P04-2010:0.9211, L08-1053:0.9211, E14-1048:0.8664, S12-1002:0.8643, W12-4005:0.8619, W14-5512:0.8535, I08-4004:0.8496, W13-2412:0.8485, N06-1010:0.8450, D09-1128:0.8398
D10-1036 ==> S10-1040:0.9840, W08-1404:0.9821, S10-1030:0.9815, E14-3011:0.9793, S10-1034:0.9789, W14-1204:0.9755, S10-1037:0.9736, S14-2037:0.9731, P06-1068:0.9698, N04-4005:0.9696
W07-0203 ==> S14-2037:0.9950, S10-1037:0.9937, W08-1404:0.9923, S10-1030:0.9922, W10-3306:0.9917, E14-3011:0.9887, P05-3013:0.9884, W06-3809:0.9860, P06-1068:0.9859, W14-1204:0.9779
C08-1082 ==> S10-1007:0.8853, P10-1070:0.8787, W09-2415:0.8578, W14-4712:0.8545, P07-3013:0.8528, E09-1071:0.8516, S13-2025:0.8448, S10-1046:0.8425, S12-1047:0.8421, I08-1074:0.8416
W04-1113 ==> H05-1126:0.9647, P03-2027:0.9564, I05-1012:0.9546, I05-2006:0.9506, P03-1016:0.9352, W00-1016:0.9344, I05-5007:0.9329, C02-1084:0.9181, C02-1161:0.9121, P06-2069:0.8976
D09-1045 ==> P04-1003:0.9536, W14-5418:0.9363, W11-2507:0.9306, W11-0114:0.9279, W11-1301:0.9231, D14-1111:0.9195, W12-1008:0.9177, W13-3005:0.9151, E14-1046:0.9129, P13-2010:0.9055
W06-1511 ==> W06-1515:0.9966, W06-1510:0.9965, P09-1112:0.9919, W06-1507:0.9901, J05-2003:0.9867, W04-1503:0.9224, J01-1004:0.8821, W03-1601:0.8655, I05-5005:0.8578, W00-0303:0.8283
D11-1054 ==> P12-2012:0.6869, W10-2708:0.6835, P11-2043:0.6819, D12-1136:0.6681, D13-1096:0.6643, N09-1042:0.6598, P09-1011:0.6527, W13-2515:0.6415, I05-1085:0.6414, D10-1038:0.6372
D11-1058 ==> D08-1070:0.9264, D12-1074:0.8304, D12-1126:0.8133, P10-2037:0.7984, E09-1037:0.7967, N06-3004:0.7962, N10-1030:0.7935, P13-1089:0.7918, E14-4030:0.7896, W09-2208:0.7787
W06-1002 ==> W03-1726:0.9915, L08-1319:0.9907, W06-0109:0.9890, W03-1705:0.9705, W02-1811:0.9655, W02-0603:0.9409, W04-0105:0.9405, I05-1009:0.9349, W08-0703:0.9288, N06-1062:0.9275
S10-1059 ==> C08-1084:0.9563, W14-3001:0.9407, W11-0209:0.9395, S10-1065:0.9390, S10-1008:0.9323, W09-2417:0.9314, W11-0908:0.9311, C08-1105:0.9288, W07-2017:0.9225, S10-1066:0.9220
D14-1132 ==> W14-3346:0.9320, W09-0434:0.9304, W10-1735:0.9265, W13-2806:0.9248, W13-2211:0.9243, D12-1041:0.9197, C14-1105:0.9154, W14-3332:0.9124, P12-2005:0.9106, N13-1001:0.9094
N03-1006 ==> P04-1062:0.9059, D09-1142:0.8821, P10-2020:0.8409, H05-1050:0.8040, W05-0807:0.8034, P09-2001:0.7914, N07-1032:0.7872, W02-2006:0.7846, W11-2205:0.7664, P11-1087:0.7634
P05-3002 ==> N06-2004:0.8978, C04-1110:0.8453, C14-1139:0.8353, W13-2709:0.8059, C10-2074:0.7992, P13-1113:0.7943, S12-1067:0.7920, N10-1101:0.7901, W10-0902:0.7894, P05-3019:0.7847
P12-1016 ==> W12-3140:0.9015, W14-3332:0.9014, W10-1704:0.9010, W11-2142:0.8987, C14-1041:0.8933, W13-2212:0.8914, W09-0427:0.8843, W08-0405:0.8788, W08-0315:0.8761, P13-2065:0.8755
W13-2245 ==> N10-1031:0.9358, W12-3120:0.9324, C14-1193:0.9283, W08-0324:0.9252, W12-0111:0.9204, P11-2027:0.9148, W08-0330:0.9145, P14-2124:0.9111, P10-2015:0.9105, W09-0403:0.9099
L08-1605 ==> P09-5004:0.9463, W00-1202:0.9386, P05-3023:0.9383, W05-1617:0.9382, C08-2023:0.9364, W06-0604:0.9325, W11-2037:0.9308, W99-0107:0.9301, C00-1018:0.9287, W09-3912:0.9282
P06-2023 ==> L08-1281:0.8749, W02-1407:0.8718, P05-1075:0.8595, P06-2040:0.8591, P01-1013:0.8515, W14-0813:0.8496, P06-1076:0.8484, W03-1704:0.8482, I05-1088:0.8466, C04-1152:0.8421
W06-2410 ==> W07-1710:0.9490, W05-1106:0.9430, W10-1013:0.9389, C08-1130:0.9335, W02-0710:0.9301, W99-0108:0.9293, I08-5006:0.9290, W02-1303:0.9277, C10-1114:0.9264, C00-2091:0.9263
P04-1043 ==> W04-2403:0.9726, N09-2022:0.8156, W06-2607:0.8138, C10-2093:0.8107, E06-1015:0.7964, E09-1024:0.7958, P12-4002:0.7912, W05-0407:0.7867, W05-1002:0.7797, P06-1117:0.7790
I08-4020 ==> D07-1081:0.9566, W10-4124:0.9546, C00-2086:0.9518, W04-1803:0.9516, W06-0402:0.9513, W00-1420:0.9508, W03-1118:0.9492, C02-1062:0.9491, W04-1702:0.9490, L08-1184:0.9486
S13-2043 ==> W10-3301:0.9586, P06-1058:0.9548, S14-1005:0.9520, W07-2068:0.9483, S10-1013:0.9449, P11-1057:0.9440, W08-2211:0.9406, S10-1089:0.9405, S14-2133:0.9388, P11-2055:0.9374
P07-1075 ==> P06-2074:0.8931, D09-1016:0.8730, S10-1074:0.8717, W08-0603:0.8672, W14-6204:0.8656, P11-1113:0.8639, C14-1204:0.8516, P06-1016:0.8411, P10-1081:0.8407, P10-1090:0.8401
P09-1061 ==> N03-3002:0.8246, N10-1109:0.8139, W04-3010:0.8060, N06-1029:0.8017, I05-1075:0.7955, N09-2021:0.7951, S10-1080:0.7915, D10-1024:0.7894, W11-0223:0.7883, W11-0412:0.7855
L08-1554 ==> W07-2102:0.9930, W04-0819:0.9680, W08-1604:0.9131, W04-3211:0.9082, W08-1801:0.8978, N04-4036:0.8946, W14-3001:0.8924, W06-3003:0.8884, W11-0209:0.8805, S10-1059:0.8755
E03-1030 ==> C08-1032:0.9782, L08-1023:0.9761, W13-2131:0.9732, P06-2032:0.9727, P14-5009:0.9686, E06-2005:0.9674, W06-3904:0.9589, W02-1502:0.9580, P03-2033:0.9534, W14-2202:0.9517
W00-0737 ==> W00-1309:0.9827, P02-1060:0.9593, C04-1004:0.8608, W06-0125:0.8564, P03-2031:0.8505, W01-1306:0.8496, W06-0905:0.8453, J02-1004:0.8425, W03-0105:0.8338, W06-2001:0.8210
S14-2132 ==> S14-2005:0.9232, W12-1906:0.9228, S14-2123:0.9024, W11-1006:0.9013, S10-1053:0.8944, W04-0802:0.8901, S13-2033:0.8829, P14-1082:0.8798, E14-4011:0.8770, S13-2034:0.8766
P06-2079 ==> P06-1133:0.9437, S14-2067:0.9397, C10-2057:0.9385, W14-3624:0.9362, W08-1124:0.9358, W14-5903:0.9336, W10-4119:0.9324, P14-1145:0.9323, C10-2036:0.9319, P13-2093:0.9315
N12-1089 ==> W14-0404:0.9881, D10-1009:0.9806, C10-2022:0.9678, W11-2021:0.9669, P09-1096:0.9632, C08-1056:0.9315, W12-2109:0.9123, P10-1079:0.9118, P06-2005:0.9002, P13-2153:0.8952
W09-0412 ==> W12-3136:0.9101, W08-0320:0.9075, W10-1706:0.8984, W11-2122:0.8942, P11-1124:0.8941, W08-0327:0.8856, W08-0321:0.8807, W14-3320:0.8807, W14-0308:0.8791, W10-1714:0.8737
W09-3920 ==> I08-2083:0.8805, L08-1615:0.8757, N12-2012:0.8752, C10-1117:0.8730, L08-1614:0.8698, E06-3002:0.8695, W09-3110:0.8633, L08-1125:0.8600, W10-2701:0.8549, W07-1029:0.8518
N04-1039 ==> P06-1124:0.9167, P02-1002:0.8898, C14-1014:0.8217, N09-1051:0.7655, W03-1020:0.7425, W04-3237:0.7369, H01-1052:0.7295, E09-3001:0.7084, P10-1026:0.7033, W13-4068:0.6980
W10-4226 ==> L08-1399:0.9930, S10-1018:0.9926, W11-1921:0.9719, W07-0803:0.9614, W06-3605:0.9479, W05-0709:0.9443, C04-1075:0.9288, I05-1063:0.9249, N09-3001:0.9246, W14-2512:0.9211
H01-1013 ==> C00-1079:0.9640, C02-1100:0.9617, D09-1163:0.9610, I05-2043:0.9607, P13-2054:0.9603, J99-2002:0.9597, W08-1908:0.9585, W04-1302:0.9574, C00-1038:0.9573, J03-1001:0.9569
W09-3839 ==> W09-3832:0.9336, W09-3803:0.9325, W09-3822:0.9317, W10-2606:0.9306, W09-3808:0.9265, W09-3805:0.9209, W06-1509:0.9193, W09-3838:0.9179, P10-5006:0.9175, W04-0812:0.9160
W12-1812 ==> W13-4073:0.9641, W13-4067:0.9518, P08-2019:0.9504, W11-2016:0.9416, P03-1031:0.9377, W13-4072:0.9340, W10-4306:0.9340, W14-0202:0.9200, W11-2002:0.9143, W13-4070:0.9087
W03-0404 ==> W03-1014:0.8021, W10-0208:0.8019, D11-1101:0.7880, P05-1017:0.7845, W14-5803:0.7827, D08-1015:0.7781, W06-1641:0.7740, W08-1207:0.7732, D09-1131:0.7731, W03-1017:0.7727
C14-1129 ==> S14-2020:0.8472, W12-2103:0.8285, W14-1501:0.8203, S14-2121:0.8113, S14-2008:0.8098, D14-1103:0.8038, P13-1094:0.8014, C10-1059:0.7981, W14-3007:0.7952, W14-6102:0.7943
C14-1206 ==> P14-3002:0.8635, W14-0703:0.8625, P12-2042:0.8493, P13-2114:0.8447, W14-4320:0.8383, C14-1027:0.8352, P14-2082:0.8313, E12-1019:0.8302, D13-1098:0.8300, N13-1112:0.8297
W12-0905 ==> W09-1410:0.9627, W08-1305:0.9560, W12-0910:0.9539, W10-2107:0.9509, W08-1307:0.9473, W07-2203:0.9429, L08-1109:0.9424, L08-1306:0.9415, W12-0911:0.9368, W12-0906:0.9358
D13-1105 ==> W14-5312:0.9092, W06-1648:0.8989, W05-0704:0.8967, C10-1048:0.8950, P11-2062:0.8900, W12-2301:0.8861, W12-6203:0.8853, L08-1176:0.8822, W10-3808:0.8820, L08-1541:0.8812
C02-1124 ==> A00-1042:0.9588, P13-2054:0.9582, P09-2054:0.9544, P10-1082:0.9543, W04-1803:0.9527, D13-1104:0.9521, W12-1701:0.9519, C00-1079:0.9516, W99-0108:0.9515, P01-1065:0.9510
P10-2034 ==> C14-1176:0.8867, P13-1083:0.8813, P12-2004:0.8742, P14-1100:0.8597, W10-2925:0.8563, P13-1102:0.8529, P10-1112:0.8463, D09-1023:0.8455, D11-1085:0.8433, W11-2167:0.8427
W14-3303 ==> W11-2120:0.9301, S13-2098:0.9249, W13-1740:0.9229, W13-2806:0.9222, W11-2131:0.9215, W10-1708:0.9202, W13-2219:0.9196, W09-0423:0.9174, D09-1117:0.9135, W13-2250:0.9121
C14-1210 ==> D13-1053:0.9335, P12-1100:0.9307, D11-1020:0.9300, W12-3160:0.9253, D14-1176:0.9250, P12-2058:0.9244, W07-0706:0.9220, D11-1079:0.9215, P11-1065:0.9204, D14-1029:0.9184
W03-0201 ==> W14-6205:0.8887, W06-1624:0.8818, P03-1042:0.8612, J04-3001:0.8592, P06-1027:0.8567, W11-0203:0.8508, N07-2028:0.8369, W07-1528:0.8346, N06-5002:0.8327, W03-1015:0.8326
D07-1107 ==> W09-2402:0.9190, W00-0104:0.9149, N01-1010:0.9090, W00-0103:0.8894, W13-5003:0.8764, P08-2063:0.8692, S14-2047:0.8632, D14-1042:0.8499, N10-1053:0.8492, S13-2113:0.8480
P09-2075 ==> I08-1018:0.9880, N04-3007:0.9873, W09-1608:0.9833, D14-1077:0.9820, P09-2029:0.9800, N03-4006:0.9770, P09-2030:0.9755, W04-1005:0.9734, W05-0902:0.9670, W13-3108:0.9655
W11-1720 ==> W10-0206:0.9079, P09-1095:0.9016, C10-1021:0.8930, C08-1111:0.8645, W10-4102:0.8553, I08-1061:0.8311, W07-2094:0.8292, C10-1104:0.8268, W06-1702:0.8261, W10-1801:0.8208
D10-1105 ==> D11-1093:0.9920, P07-2033:0.9916, W14-4507:0.9892, N09-5005:0.9862, W04-2118:0.9750, I05-1050:0.9584, W06-1205:0.9562, I05-7005:0.9546, W07-1102:0.9540, C04-1124:0.9531
D13-1138 ==> D14-1003:0.9385, N10-1040:0.9350, N13-1114:0.9285, W09-0414:0.9200, C10-1033:0.9178, C08-1137:0.9150, E14-4034:0.9138, W10-1706:0.9119, W11-2142:0.9116, W09-2310:0.9108
C14-2016 ==> W07-1313:0.9204, W04-0410:0.9202, D08-1096:0.9193, C02-1124:0.9173, W09-2901:0.9166, W04-2602:0.9138, E03-1020:0.9105, W09-1707:0.9090, L08-1229:0.9078, P05-3020:0.9072
D12-1139 ==> D13-1113:0.7727, P12-2038:0.7708, W12-2508:0.7590, D10-1002:0.7583, W13-1410:0.7464, P10-2008:0.7442, W13-1720:0.7419, W14-3420:0.7406, W13-1727:0.7406, P09-2081:0.7373
W12-3118 ==> W13-2255:0.9560, W12-3121:0.9251, P13-2025:0.9248, W14-0301:0.9131, W12-3114:0.9104, P10-1063:0.9064, W12-3119:0.9043, W14-3348:0.9024, D09-1115:0.9019, W12-0111:0.9017
P03-2020 ==> I05-2020:0.9663, W04-1814:0.9548, C04-1149:0.9478, E03-1023:0.9454, I05-1060:0.9446, C02-2020:0.9414, W13-2411:0.9243, I05-1062:0.9158, P07-1084:0.9153, I08-1013:0.9090
P00-1054 ==> W99-0213:0.9579, C02-2013:0.9573, W04-1702:0.9562, W10-4231:0.9560, W05-0710:0.9553, W02-0101:0.9537, W01-1009:0.9508, W05-0506:0.9507, J99-2002:0.9495, W09-3937:0.9493
W10-4228 ==> W11-1919:0.9579, D08-1046:0.9428, W02-0710:0.9416, C00-2091:0.9408, W13-2021:0.9385, W10-3012:0.9365, W05-0710:0.9345, L08-1362:0.9339, W05-1106:0.9333, P11-2047:0.9318
P13-1123 ==> W11-2011:0.9106, N12-1081:0.8998, P11-2115:0.8904, P10-1008:0.8895, W07-1504:0.8893, W10-4235:0.8877, W12-1604:0.8876, W10-4204:0.8859, W09-3916:0.8828, W12-1509:0.8811
W12-3213 ==> L08-1005:0.9487, L08-1291:0.9341, W10-1114:0.9169, W12-3204:0.9058, W10-0402:0.8889, D07-1089:0.8662, P14-2059:0.8211, P08-1093:0.8185, L08-1251:0.8034, N12-1009:0.7872
E03-1002 ==> W03-1021:0.9612, W04-0305:0.9345, P07-2019:0.9125, W06-3315:0.9112, P11-2110:0.9089, W03-0321:0.9044, C02-1157:0.9008, P04-1030:0.8898, H01-1072:0.8873, P03-1066:0.8848
P06-1054 ==> W03-1025:0.8594, P07-1099:0.8294, W03-1706:0.8216, I05-6003:0.8123, W06-0104:0.7978, P11-1141:0.7882, W10-4108:0.7705, D13-1062:0.7551, W04-1107:0.7545, P11-3011:0.7542
E09-1020 ==> P04-1064:0.8792, P06-3003:0.8384, W05-0813:0.8264, J10-3002:0.8246, N07-2053:0.8190, W05-0812:0.8166, N10-1014:0.8157, P13-1003:0.8067, D07-1006:0.8065, H05-1095:0.7998
N12-2010 ==> W14-3706:0.8569, D08-1020:0.8015, P09-1024:0.7874, C10-2046:0.7848, W09-2807:0.7771, W12-2606:0.7698, W14-1202:0.7688, Q13-1008:0.7656, W13-3109:0.7642, P14-2099:0.7642
S12-1020 ==> W09-2510:0.9935, P08-1111:0.9773, E09-1001:0.9741, W03-0906:0.9711, W08-1602:0.9639, P06-1019:0.9593, W06-3907:0.9591, W09-2602:0.9590, W04-1905:0.9434, J11-1003:0.9317
E09-1097 ==> C10-1037:0.8158, P07-1044:0.8132, N09-2057:0.8122, C10-1012:0.8064, D12-1085:0.7994, W14-4416:0.7933, D09-1041:0.7930, P08-2049:0.7929, C14-1188:0.7927, D14-1085:0.7914
C00-1053 ==> C00-1054:0.9976, P02-1048:0.9974, W08-0801:0.9817, W12-3505:0.9804, P03-2005:0.9788, W07-0303:0.9786, C10-2178:0.9783, N06-2040:0.9770, P07-1048:0.9765, N04-4012:0.9749
W04-2214 ==> L08-1404:0.9902, C04-1163:0.9675, W02-0801:0.9650, W02-1304:0.9622, E06-2001:0.9116, P06-1092:0.9061, W00-0706:0.9029, I05-1067:0.9020, W06-1710:0.8999, P06-2026:0.8996
