C02-1122 ==> C04-1174:0.9666, H01-1043:0.9425, W02-1608:0.9353, I08-2110:0.9298, N06-1023:0.8873, D09-1151:0.8837, P09-2052:0.8735, I05-1005:0.8460, I08-1065:0.8349, D07-1032:0.8205
C14-1176 ==> P10-2042:0.9074, P13-1030:0.8980, D10-1117:0.8936, P11-2127:0.8928, W13-3519:0.8923, P11-1064:0.8912, P13-1077:0.8904, D12-1021:0.8885, P12-2022:0.8872, P09-2085:0.8856
C14-1025 ==> Q13-1013:0.9505, S14-1005:0.9372, L08-1551:0.9241, W10-3301:0.9185, D14-1046:0.9176, L08-1041:0.9167, S14-2133:0.9150, N13-1088:0.9098, S13-2041:0.9092, S10-1013:0.9066
D07-1067 ==> W04-3210:0.8709, W06-1632:0.8312, N10-1143:0.7647, W03-1009:0.7517, P02-1026:0.7481, P12-1014:0.7313, W13-4049:0.7294, W05-0614:0.7267, W01-1201:0.7229, P09-1010:0.7213
W13-2502 ==> P09-2057:0.8867, C10-2055:0.8825, W09-1702:0.8765, W11-2164:0.8754, E12-1046:0.8681, P13-2038:0.8675, N10-1063:0.8669, D14-1129:0.8631, W14-1009:0.8517, W08-1403:0.8423
C02-1025 ==> P02-1061:0.8385, W03-0423:0.8100, W03-0432:0.7983, P03-1020:0.7196, W03-0420:0.7045, W03-0431:0.7020, W03-0428:0.6960, P03-1028:0.6943, W02-2022:0.6711, W03-0426:0.6710
W14-0504 ==> N12-1045:0.9383, P14-1101:0.9305, C14-1219:0.9089, D12-1020:0.9086, P13-3017:0.9049, D13-1118:0.9020, E14-1013:0.9008, P13-1148:0.8912, N10-1081:0.8898, W12-1907:0.8771
N09-2018 ==> W04-2010:0.9840, I05-2018:0.9665, P06-2077:0.9626, L08-1458:0.9542, C10-1137:0.9498, W14-5708:0.9191, W09-2409:0.9173, W08-1708:0.8969, N07-2002:0.8968, H05-1105:0.8896
P06-2029 ==> P09-3006:0.8864, P06-1041:0.8844, W14-0406:0.8777, W13-4912:0.8763, P08-1005:0.8740, W14-4606:0.8718, L08-1571:0.8594, J14-3001:0.8544, P11-2060:0.8534, P12-1081:0.8522
P10-1033 ==> N10-1033:0.9251, D10-1052:0.9059, P13-2064:0.9035, D10-1065:0.9034, P13-4016:0.9021, C14-1209:0.9018, W09-2306:0.9007, P11-1126:0.8986, D13-1053:0.8980, N09-1049:0.8968
W14-4314 ==> W14-4315:0.9902, P12-3018:0.9890, W12-1808:0.9859, W12-1806:0.9838, E09-1085:0.9821, W11-0144:0.9804, C02-1024:0.9681, W13-4042:0.9680, W11-2014:0.9652, W10-4308:0.9626
D12-1037 ==> D09-1114:0.9268, C14-1209:0.9260, C10-1051:0.9205, D11-1079:0.9201, N10-1128:0.9199, D10-1053:0.9174, D14-1062:0.9173, P13-1156:0.9168, W12-3152:0.9164, P13-2072:0.9145
P10-1103 ==> E14-4041:0.9759, W09-3916:0.9644, W10-4235:0.9490, W08-0111:0.9470, N13-1128:0.9356, W12-1509:0.9355, W14-4422:0.9320, P10-1008:0.9270, P11-2115:0.9213, W10-4324:0.9189
W06-0206 ==> L08-1053:0.9299, P09-2089:0.8532, W09-1116:0.8371, W14-3108:0.8325, P04-2010:0.8321, S10-1020:0.8305, P05-1051:0.8260, C10-2125:0.8236, C10-2101:0.8224, W06-1633:0.8178
D10-1036 ==> D09-1027:0.9912, L08-1304:0.9759, S10-1040:0.9706, S10-1034:0.9675, C14-1139:0.9653, W08-1404:0.9623, W06-3804:0.9583, W14-5411:0.9550, E14-3011:0.9529, W14-1204:0.9516
W07-0203 ==> P05-3013:0.9948, W08-1404:0.9935, S14-2037:0.9918, S10-1040:0.9895, S10-1037:0.9894, E14-3011:0.9894, S10-1030:0.9850, W06-3809:0.9831, W14-5411:0.9830, W10-3306:0.9826
C08-1082 ==> N09-2060:0.8479, C08-1100:0.8405, W07-1108:0.8309, E09-1071:0.8130, S13-2025:0.7971, S13-2028:0.7947, S12-1071:0.7829, W09-2415:0.7789, P08-3001:0.7774, P07-1072:0.7755
W04-1113 ==> H05-1126:0.9768, P03-2027:0.9716, I05-1012:0.9686, I05-2006:0.9667, W00-1016:0.9602, C02-1084:0.9510, P03-1016:0.9508, C02-1161:0.9478, P06-2069:0.9209, W04-2506:0.9147
D09-1045 ==> W11-0114:0.9547, P04-1003:0.9467, W11-1301:0.9408, W14-5418:0.9355, S14-1020:0.9330, W11-2507:0.9330, S13-1001:0.9320, W12-1008:0.9318, D14-1111:0.9253, S13-2019:0.9228
W06-1511 ==> W06-1515:0.9959, W06-1510:0.9939, J05-2003:0.9921, P09-1112:0.9880, W06-1507:0.9861, J01-1004:0.9140, W04-1503:0.9098, W03-1601:0.8701, I05-5005:0.8293, E14-2022:0.7520
D11-1054 ==> D12-1136:0.8325, W13-4051:0.7851, P09-1096:0.6937, D13-1096:0.6921, N12-1089:0.6796, D10-1009:0.6778, P12-1061:0.6754, C10-2022:0.6735, P09-1011:0.6724, W13-4039:0.6695
D11-1058 ==> D08-1070:0.8894, W09-1120:0.8077, D14-1041:0.8064, D12-1103:0.7930, P12-2001:0.7890, P10-2006:0.7877, P13-1022:0.7851, W10-2506:0.7842, P10-1108:0.7826, N13-1076:0.7804
W06-1002 ==> W03-1726:0.9925, W06-0109:0.9909, L08-1319:0.9852, W03-1705:0.9725, W02-1811:0.9453, C02-1049:0.9421, I05-1009:0.9322, W04-0105:0.9038, W02-0603:0.8995, W08-0703:0.8953
S10-1059 ==> S10-1065:0.9730, W14-3001:0.9704, W09-2417:0.9703, W11-0908:0.9684, S10-1008:0.9634, W07-2017:0.9564, C08-1084:0.9457, W14-2413:0.9368, S10-1066:0.9352, W11-0209:0.9320
D14-1132 ==> N13-1001:0.9550, W13-2214:0.9499, W10-1761:0.9492, P13-2072:0.9454, D14-1028:0.9445, P13-1156:0.9441, D13-1138:0.9434, W13-0803:0.9417, P13-1078:0.9414, P12-3004:0.9414
N03-1006 ==> P04-1062:0.9185, D09-1142:0.8903, P10-2020:0.8830, H05-1050:0.7609, P04-3032:0.7542, W05-0807:0.7516, P09-2001:0.7467, N12-1014:0.7429, P13-2056:0.7395, W02-2006:0.7384
P05-3002 ==> N06-2004:0.9055, N12-1018:0.8191, C04-1110:0.8112, C14-1139:0.8063, P05-3019:0.8011, P07-2013:0.7983, W10-0902:0.7945, S13-1032:0.7896, C10-2074:0.7848, C08-1040:0.7846
P12-1016 ==> C14-1041:0.9026, P14-1010:0.9016, W10-1735:0.9000, W13-2211:0.8968, W08-2118:0.8827, W14-3324:0.8686, W12-1514:0.8652, W06-3102:0.8620, W14-3305:0.8599, E14-1061:0.8591
W13-2245 ==> W14-3341:0.9594, W12-3121:0.9575, C14-1193:0.9546, W14-4719:0.9531, W13-2251:0.9523, W10-1749:0.9513, W14-0308:0.9487, W09-0403:0.9478, W14-4003:0.9456, P09-1035:0.9446
L08-1605 ==> W10-3403:0.9529, W09-0624:0.9472, W99-0108:0.9469, W04-0914:0.9441, W99-0617:0.9441, L08-1299:0.9437, W11-0121:0.9429, W12-6204:0.9427, W04-0709:0.9420, W02-1501:0.9408
P06-2023 ==> N13-2003:0.9584, L08-1281:0.9542, P05-1075:0.9476, P06-1076:0.9258, P06-2040:0.9213, C02-1117:0.9024, W14-2804:0.8718, W02-1407:0.8708, W14-5817:0.8681, C02-1096:0.8664
W06-2410 ==> W04-2102:0.8855, W12-1701:0.8795, I05-3015:0.8786, H01-1068:0.8752, W03-0601:0.8742, P09-4002:0.8742, W00-0103:0.8724, W05-0506:0.8704, W10-1104:0.8699, W09-2203:0.8678
P04-1043 ==> W04-2403:0.9499, W05-1002:0.8267, C10-2093:0.8160, W06-2607:0.8106, E09-1024:0.8095, D14-1050:0.7992, P06-1117:0.7971, C08-1121:0.7929, N09-2022:0.7875, W06-2909:0.7854
I08-4020 ==> P06-2062:0.9526, W10-2203:0.9488, E03-1018:0.9487, J99-4003:0.9476, W04-0602:0.9470, W00-1014:0.9461, P05-3029:0.9447, P00-1032:0.9443, I05-3015:0.9429, W01-1001:0.9423
S13-2043 ==> P06-1012:0.9263, W07-2068:0.9177, H05-1069:0.9163, W06-2007:0.9115, W09-2405:0.9115, S10-1090:0.9114, S10-1013:0.9092, S10-1012:0.9087, W08-2211:0.9072, P13-2096:0.9043
P07-1075 ==> P06-2074:0.9131, W06-1634:0.8708, C04-1078:0.8688, D09-1016:0.8685, D14-1090:0.8664, W08-0603:0.8653, E12-1030:0.8649, W10-3910:0.8612, W14-6204:0.8606, P11-1114:0.8603
P09-1061 ==> N03-3002:0.8565, D10-1024:0.8562, W04-3010:0.8521, N06-1029:0.8494, W14-4016:0.8443, S10-1080:0.8377, D07-1043:0.8360, W04-0817:0.8010, N10-1109:0.7970, W09-1121:0.7755
L08-1554 ==> W07-2102:0.9875, W04-0819:0.9745, W04-3211:0.9185, W09-2603:0.9086, S10-1059:0.9024, S10-1065:0.8921, W11-0908:0.8906, W08-1604:0.8906, W09-2417:0.8791, W06-3001:0.8786
E03-1030 ==> C08-1032:0.9795, W13-2131:0.9757, L08-1023:0.9750, E06-2005:0.9719, P06-2032:0.9710, W06-1516:0.9685, P14-5009:0.9618, W02-1502:0.9575, W02-1508:0.9550, P03-1047:0.9543
W00-0737 ==> W00-1309:0.9849, P02-1060:0.9707, P03-2031:0.8821, W06-0905:0.8747, W06-0125:0.8712, J02-1004:0.8689, W01-1306:0.8684, W04-3009:0.8683, N03-2014:0.8582, C04-1004:0.8558
S14-2132 ==> S13-2033:0.9563, S14-2005:0.9371, W12-4201:0.9323, S13-2034:0.9267, S10-1053:0.9152, S13-2032:0.9131, W14-3358:0.9113, S14-2123:0.9083, S13-2029:0.8977, W13-0801:0.8877
P06-2079 ==> P09-1078:0.9356, W10-4119:0.9351, S14-2057:0.9336, P06-1133:0.9259, W14-3624:0.9256, S14-2071:0.9243, P13-2093:0.9218, W10-3209:0.9194, N10-1042:0.9187, S10-1098:0.9186
N12-1089 ==> P09-1096:0.9772, W11-2021:0.9727, D10-1009:0.9724, C10-2022:0.9612, C08-1056:0.9526, W12-2109:0.9405, W14-0404:0.9271, P12-3006:0.9234, P06-2005:0.9144, P14-2060:0.9112
W09-0412 ==> P14-2124:0.8781, W08-0320:0.8754, N10-1031:0.8723, W12-3120:0.8701, W12-3136:0.8649, W14-4719:0.8630, W14-3355:0.8596, W13-2247:0.8593, W07-0707:0.8523, S12-1099:0.8517
W09-3920 ==> W08-0616:0.8807, P10-1018:0.8780, W09-3401:0.8613, L08-1614:0.8596, W09-3711:0.8576, E06-3002:0.8538, W10-0603:0.8523, N12-2012:0.8496, W09-3204:0.8477, C10-1117:0.8428
N04-1039 ==> P02-1002:0.9015, P06-1124:0.8998, C14-1014:0.8082, W03-1020:0.7870, N09-1051:0.7690, W04-3237:0.7245, H01-1052:0.7222, W10-2809:0.7206, P14-1072:0.7073, W14-0504:0.7046
W10-4226 ==> S10-1018:0.9914, W11-1921:0.9812, L08-1399:0.9804, C04-1075:0.9736, W06-3605:0.9703, W14-2512:0.9639, N09-2051:0.9589, L08-1049:0.9495, S10-1022:0.9416, W11-1823:0.9415
H01-1013 ==> W11-2037:0.9682, W10-2201:0.9481, C00-2150:0.9458, C00-1038:0.9435, P09-2042:0.9381, C02-2015:0.9355, P11-1116:0.9349, N03-5005:0.9347, W13-3401:0.9345, W10-1501:0.9344
W09-3839 ==> W12-0401:0.9544, I08-7013:0.9520, J02-2004:0.9460, W09-3306:0.9460, E03-1085:0.9445, D11-1046:0.9418, W06-1509:0.9392, J12-3006:0.9368, W14-0820:0.9341, W11-2311:0.9340
W12-1812 ==> W13-4073:0.9720, W11-2016:0.9616, P08-2019:0.9608, W13-4067:0.9545, W13-4070:0.9534, P03-1031:0.9495, W10-4306:0.9494, W13-4069:0.9486, W13-4071:0.9446, W13-4072:0.9429
W03-0404 ==> P05-1017:0.8151, C10-2169:0.8134, W03-1014:0.8100, W03-1017:0.8072, W09-2011:0.8040, D09-1131:0.7986, E06-1026:0.7971, P14-2056:0.7939, D14-1123:0.7891, L08-1158:0.7890
C14-1129 ==> S12-1043:0.8559, W14-2616:0.8517, P12-2003:0.8280, P11-2035:0.8096, W10-3007:0.8004, C14-1103:0.7994, W11-1402:0.7963, P11-2088:0.7953, W10-3005:0.7949, S12-1042:0.7921
C14-1206 ==> P14-3002:0.8689, C14-1198:0.8676, W14-0702:0.8573, E12-1019:0.8551, D12-1081:0.8543, N13-1112:0.8494, E14-1033:0.8479, W13-4004:0.8433, P11-2061:0.8407, W13-1408:0.8402
W12-0905 ==> W12-0910:0.9781, W10-2107:0.9753, W12-0906:0.9740, L08-1109:0.9671, L08-1306:0.9671, P11-1136:0.9666, W08-1305:0.9617, I08-1072:0.9505, W10-0609:0.9479, L08-1149:0.9474
D13-1105 ==> P07-1012:0.9062, N06-1062:0.9062, W04-0105:0.8925, I05-1009:0.8906, E14-1060:0.8875, E12-1067:0.8849, E14-2006:0.8845, W06-3209:0.8769, W05-0503:0.8758, W08-0703:0.8714
C02-1124 ==> W00-0304:0.9629, W09-3412:0.9585, W12-2908:0.9577, C00-2098:0.9557, L08-1385:0.9552, P99-1079:0.9551, I05-3015:0.9546, W00-1202:0.9540, W02-0405:0.9538, W06-1709:0.9532
P10-2034 ==> P11-2127:0.9031, P12-2004:0.9002, D11-1018:0.8896, N10-1033:0.8889, P07-1051:0.8796, C14-1176:0.8774, W14-4010:0.8753, Q13-1006:0.8751, N12-1069:0.8750, P14-2020:0.8743
W14-3303 ==> W11-2131:0.9272, S14-2085:0.9211, W14-3302:0.9175, W07-0725:0.8905, D14-1026:0.8882, P13-2047:0.8876, W14-0308:0.8760, W14-3341:0.8751, W08-0328:0.8746, W14-0314:0.8744
C14-1210 ==> P09-2032:0.9577, P09-1020:0.9545, C14-1209:0.9489, C14-1108:0.9467, P11-1063:0.9455, C10-2086:0.9449, P12-3004:0.9445, P11-1085:0.9438, P09-2036:0.9436, C10-1080:0.9433
W03-0201 ==> P03-1042:0.9136, W06-1624:0.8700, W14-6205:0.8674, W06-2207:0.8540, P06-1027:0.8476, W07-1528:0.8379, N07-2028:0.8331, J04-3004:0.8324, D08-1071:0.8312, I05-1036:0.8285
D07-1107 ==> W13-5003:0.9223, W09-2402:0.9126, W09-2405:0.9050, N10-1053:0.8965, N13-1062:0.8880, E09-1045:0.8863, W04-0864:0.8862, N01-1010:0.8852, D14-1042:0.8798, W06-2503:0.8675
P09-2075 ==> D14-1077:0.9902, W09-1608:0.9874, I08-1018:0.9868, N04-3007:0.9855, W09-1312:0.9784, P13-2099:0.9778, N03-4006:0.9753, W05-0902:0.9676, W10-3306:0.9647, W13-3108:0.9643
W11-1720 ==> P09-1095:0.9132, C10-1021:0.8968, W14-0906:0.8403, W06-1625:0.8309, P08-2045:0.8136, W11-1725:0.8117, W09-3001:0.7907, W14-4921:0.7815, E14-3005:0.7803, P13-2085:0.7798
D10-1105 ==> D11-1093:0.9951, W14-4507:0.9914, P07-2033:0.9880, N09-5005:0.9875, W04-2118:0.9862, I05-1050:0.9795, C04-1124:0.9772, W06-1205:0.9751, I05-7005:0.9698, W11-0806:0.9655
D13-1138 ==> E14-4037:0.9551, W13-3521:0.9493, W10-0715:0.9474, W13-2207:0.9465, P13-2071:0.9456, D14-1132:0.9434, W11-2162:0.9416, W12-3155:0.9395, P13-1032:0.9378, W10-3805:0.9377
C14-2016 ==> P13-4013:0.9442, W04-0844:0.9352, W09-0907:0.9233, W10-4172:0.9140, W10-2110:0.9130, W07-1313:0.9102, W04-2602:0.9080, W10-2308:0.9059, P07-3015:0.9016, W03-1811:0.8999
D12-1139 ==> W11-0310:0.8364, W12-2508:0.8027, D13-1113:0.8017, P10-2008:0.7787, C04-1088:0.7759, W06-1657:0.7605, W13-1710:0.7591, W13-1410:0.7555, W09-2007:0.7544, C08-1065:0.7535
W12-3118 ==> W12-3121:0.9622, W13-2255:0.9411, P10-1063:0.9374, W08-0324:0.9340, W13-2202:0.9329, W14-3341:0.9302, W12-3119:0.9295, W13-2231:0.9240, W13-2247:0.9223, P11-1022:0.9205
P03-2020 ==> W04-1814:0.9676, W11-1206:0.9644, I05-2020:0.9633, P07-1084:0.9630, C02-2020:0.9584, E03-1023:0.9504, C04-1149:0.9503, I05-1060:0.9406, I05-1087:0.9238, E06-1029:0.9233
P00-1054 ==> P01-1054:0.9463, W10-1501:0.9433, W99-0108:0.9414, C10-2067:0.9410, L08-1543:0.9407, E12-1057:0.9395, W13-1206:0.9395, H01-1050:0.9387, I08-3010:0.9379, P00-1040:0.9370
W10-4228 ==> W11-1919:0.9628, P10-1005:0.9548, J08-3002:0.9310, P10-1082:0.9268, W09-3939:0.9221, C10-2121:0.9210, W11-0210:0.9202, P08-4009:0.9174, W09-3302:0.9174, W09-2819:0.9172
P13-1123 ==> W11-2011:0.9101, W14-4422:0.9008, P11-2115:0.8931, W09-0616:0.8824, W09-3916:0.8813, W12-1509:0.8812, W10-4235:0.8807, W09-0626:0.8797, D12-1008:0.8774, W11-2702:0.8763
W12-3213 ==> L08-1005:0.9570, L08-1291:0.9479, D07-1089:0.9165, W12-3204:0.8920, W10-0402:0.8841, C10-2145:0.8722, W12-3202:0.8676, W10-1114:0.8586, W12-3209:0.8416, W06-1312:0.8238
E03-1002 ==> W03-1021:0.9506, W03-0321:0.9338, C02-1157:0.9310, W04-0305:0.9258, D10-1066:0.9223, W06-1636:0.9210, P04-1030:0.9161, W04-0303:0.9156, W06-3315:0.9117, P03-1066:0.9075
P06-1054 ==> P11-2106:0.8488, W04-1101:0.8381, W04-1114:0.8257, C10-1151:0.8230, P07-1099:0.8229, W04-1107:0.8217, W03-1706:0.8206, W10-4108:0.8075, I05-2002:0.8041, I05-2044:0.8040
E09-1020 ==> P04-1064:0.8836, N10-1014:0.8590, P06-2014:0.8573, W05-0812:0.8517, P13-1017:0.8513, W09-2309:0.8482, P11-1128:0.8458, P10-1033:0.8457, P11-2066:0.8456, D10-1052:0.8454
N12-2010 ==> W14-3706:0.9296, W14-3701:0.8944, D08-1020:0.8926, J10-2002:0.8860, J08-1001:0.8827, C10-2032:0.8821, N10-1099:0.8653, W13-1506:0.8528, C14-1156:0.8493, D12-1043:0.8467
S12-1020 ==> W09-2510:0.9819, W06-3907:0.9750, W03-0906:0.9690, E09-1001:0.9555, J07-4001:0.9537, P08-1111:0.9531, W08-1602:0.9447, W04-1905:0.9351, P06-1019:0.9249, W08-2203:0.9170
E09-1097 ==> D14-1021:0.7874, D11-1106:0.7834, E12-1075:0.7798, C10-1012:0.7754, P13-3019:0.7595, W10-1753:0.7482, W07-1512:0.7473, N10-1084:0.7466, P06-2047:0.7445, D12-1023:0.7441
C00-1053 ==> C00-1054:0.9972, P02-1048:0.9965, C10-2178:0.9804, W12-3505:0.9803, P03-2005:0.9796, P07-1048:0.9792, N04-4012:0.9786, W07-0303:0.9767, P04-3033:0.9736, N06-2040:0.9722
W04-2214 ==> L08-1404:0.9861, C04-1163:0.9616, W02-0801:0.9518, W02-1304:0.9481, W00-0706:0.9366, S10-1092:0.9131, W06-1700:0.9035, E06-2001:0.9028, W06-1710:0.9017, N06-2041:0.9002
