C02-1122 ==> H01-1043, W02-1608, C00-1063, W97-0123, C04-1174
P98-1036 ==> M98-1017, W00-1210, C00-1024, W02-2017, W03-0104
P91-1054 ==> C96-1014, P92-1015, E87-1035, C88-2143, H91-1043
P91-1022 ==> P91-1023, C90-3031, H91-1026, P93-1001, A92-1031
D09-1045 ==> E03-1002, D10-1115, W03-1021, P02-1037, H05-1026
W97-0114 ==> W97-1304, W04-1121, C94-2106, P98-1042, P96-1018
W06-1511 ==> W06-1515, W06-1510, W14-5816, C94-2162, P90-1015
D11-1054 ==> W10-2708, D12-1136, P13-2008, N12-1074, W14-2708
D11-1058 ==> D08-1070, N09-2036, D12-1103, P14-2127, D11-1102
L08-1470 ==> H93-1075, W07-0311, P98-2190, H92-1013, H90-1029
W06-1002 ==> W06-0109, L08-1319, W03-1726, W04-1608, W97-0316
W98-0501 ==> W07-2209, P97-1043, W04-1504, P98-2130, W04-1506
C92-1056 ==> P91-1019, H92-1046, C92-2070, H93-1051, E93-1051
S10-1059 ==> W09-2417, S10-1065, S10-1008, W14-3001, W07-2018
D14-1132 ==> W10-1717, P11-1126, P12-1031, W11-2119, W10-1702
W98-0504 ==> P98-1026, W04-1512, P01-1021, W04-1502, W04-1508
N03-1006 ==> D09-1142, P04-1062, W02-2006, N07-1032, W05-0807
H89-1008 ==> A83-1003, P86-1005, C86-1108, H89-1013, P86-1036
J90-1001 ==> P89-1019, C90-3034, P92-1005, E91-1009, E95-1002
P05-3002 ==> S12-1067, P07-2013, P05-3019, D08-1019, N06-2004
W98-0902 ==> W09-0802, P14-1103, P02-1008, W98-0904, W14-2805
P12-1016 ==> D13-1174, W13-2811, E12-1068, P08-2039, P10-3006
W13-2245 ==> D14-1026, W13-2202, W13-2253, W11-2105, P12-1098
P12-1004 ==> N09-1052, W14-4605, P06-2030, P13-2042, W98-1217
L08-1605 ==> L08-1543, C80-1003, W10-4230, M91-1032, J12-3001
P06-2023 ==> P05-1075, W14-0813, W04-1112, L08-1281, W06-1202
W06-2410 ==> W09-2904, L08-1257, C90-3043, W09-2901, W03-1811
P04-1043 ==> W04-2403, W05-0630, E06-1015, W06-2909, W05-0407
I08-4020 ==> C80-1011, C67-1019, W02-1106, P95-1043, C92-3163
H94-1055 ==> W04-3004, N07-4007, H01-1023, I08-1028, A00-1029
S13-2043 ==> S14-1005, P12-3012, I08-1073, C14-1151, E09-1005
C90-3101 ==> E87-1020, C88-2154, C96-2121, C92-2101, P98-2212
P07-1075 ==> P06-2074, D09-1016, P06-1016, C04-1078, P11-1098
P09-1061 ==> W14-4016, W10-2001, N10-1109, W04-3010, W12-0706
L08-1554 ==> W07-2102, W04-0819, J14-3009, P10-1143, W10-3201
E03-1030 ==> E06-2005, C00-2087, P00-1047, J13-3005, W06-1516
W00-0737 ==> W00-0726, W00-0727, W00-0731, W99-0707, W99-0629
S14-2132 ==> S14-2005, S10-1053, W14-4209, S12-1015, P14-1082
P06-2079 ==> P09-1029, C10-2153, D09-1064, N03-1025, P09-1078
N12-1089 ==> P09-1096, P10-1079, C08-1056, P06-2005, D10-1009
W09-0412 ==> D09-1141, W10-1706, D12-1027, D10-1041, P12-2059
W09-3920 ==> P10-1018, C02-1061, W12-0402, P13-1097, W09-3210
N04-1039 ==> P06-1124, P02-1002, N09-1051, P09-2072, C14-1014
W10-4226 ==> W11-1910, S10-1018, W11-1921, W12-4516, C10-2125
H01-1013 ==> N01-1028, H01-1012, N06-2044, C08-3005, W00-0308
W09-3839 ==> W09-3803, W09-3825, W09-3831, W09-3838, P10-5002
P98-2182 ==> P99-1016, W01-0516, W99-0609, E03-1084, W03-0415
W12-1812 ==> W11-2016, P08-2019, W14-0202, W13-4073, W13-4065
W03-0404 ==> C04-1200, P04-1035, W03-1014, P05-1017, E06-1025
P84-1085 ==> P86-1021, P83-1005, P83-1007, P85-1007, J84-2002
C14-1129 ==> P09-1093, P12-2068, P14-1117, N10-1131, D14-1076
C14-1206 ==> D13-1002, P12-1007, D09-1122, P14-3002, W11-0119
W12-0905 ==> W12-0910, W10-2107, W12-0906, W08-1307, W08-1305
P96-1034 ==> P97-1041, J00-3004, P01-1013, W03-1708, P10-1091
D13-1105 ==> J11-2002, W06-3209, W10-3601, E14-1060, I08-3007
C02-1124 ==> W13-1012, T87-1020, C88-2116, H86-1021, C90-2017
P10-2034 ==> C14-1176, W14-4202, D14-1180, N10-1082, N09-1026
W14-3303 ==> W14-3302, S14-2085, W14-3339, W13-2201, W12-3119
C14-1210 ==> C10-2136, D10-1043, W12-3128, P13-1124, C14-1108
J86-4002 ==> T87-1035, J89-2001, C90-3076, P91-1050, P85-1026
W03-0201 ==> W02-1905, I05-4009, C04-1187, W09-2202, W03-0908
D07-1107 ==> P06-1014, W13-5003, W06-2503, N01-1010, P08-2063
P09-2075 ==> N06-2046, P13-2099, D11-1040, P08-1094, P02-1058
W11-1720 ==> C10-1021, W10-1801, W10-4102, W10-0206, P13-2091
D10-1105 ==> P07-2033, N09-5005, W14-4507, I05-7005, N04-3012
C02-1061 ==> J05-2004, W07-1029, D08-1103, H05-1067, W09-3920
D13-1138 ==> N13-1001, D08-1089, P12-2005, W12-3125, W12-0108
C14-2016 ==> C14-2012, P06-2017, W09-0907, W07-0212, W02-0309
E91-1013 ==> C88-1012, P87-1034, P91-1014, J93-1002, J92-4005
D12-1139 ==> D12-1106, W12-1622, D13-1181, W11-0310, W13-1711
W12-3118 ==> P10-1063, W13-2255, W12-3119, P11-1022, W14-0301
P03-2020 ==> P11-1133, W04-2012, I05-1059, I05-2020, C94-1048
P00-1054 ==> A00-1006, C94-1003, C02-1011, P98-2131, C04-1149
W10-4228 ==> W10-4305, J08-3002, W09-3939, W11-1915, P11-2022
P13-1123 ==> W13-4026, W12-1509, W14-5002, W09-0607, N12-1081
W12-3213 ==> L08-1005, L08-1291, W10-1114, D07-1089, W12-3209
E03-1002 ==> W03-1021, W04-3242, W06-1636, H05-1026, N01-1029
P06-1054 ==> P07-1099, W03-1025, Q13-1025, I05-3007, P11-1139
E09-1020 ==> P06-3003, P14-1139, N12-1004, P11-1043, D11-1047
N12-2010 ==> D08-1020, N07-1055, W14-3701, W13-2904, J10-2002
W97-0405 ==> W02-0711, C94-1068, W94-0110, C96-2191, P98-1070
E93-1019 ==> C88-1032, X96-1024, P96-1053, H94-1026, A88-1026
C90-3055 ==> C94-2116, C92-2086, W94-0208, P95-1030, C96-2159
S12-1020 ==> W09-2510, W03-0906, W06-3907, P08-1111, W09-2602
E09-1097 ==> N09-2058, D14-1021, D09-1041, E12-1075, W08-1105
C00-1053 ==> C00-1054, N04-4012, P02-1048, P06-3015, L08-1033
W04-2214 ==> L08-1404, W02-1304, C04-1163, H05-1051, W00-0706
I08-5013 ==> W14-6205, I08-5003, D13-1117, W03-1504, W14-4612
W14-5202 ==> W10-4149, W10-1614, W07-2204, W14-6106, C08-1071
C10-2095 ==> D12-1041, D14-1016, P11-1104, N07-2022, C10-2084
P13-2135 ==> W13-2243, S13-2006, W13-2231, W12-3122, S12-1105
W08-0110 ==> P00-1001, P14-2038, W01-1623, E03-3001, P07-1101
P83-1004 ==> C90-3056, C92-1031, P80-1012, E89-1034, P83-1015
P14-2011 ==> P06-1104, N09-3012, C08-1088, N06-1037, D10-1034
W03-2911 ==> C94-2167, W04-1814, L08-1278, I05-1024, A92-1014
P09-1079 ==> P11-1013, P10-1043, W10-2918, P08-2065, P10-2062
W99-0402 ==> N01-1031, W02-1011, W04-2408, W09-3909, W10-2315
W13-4049 ==> W14-4317, W03-0703, P10-2057, D13-1035, W14-4316
E91-1014 ==> C94-1075, C88-1022, E89-1029, C88-2143, J92-4005
W10-0715 ==> W13-3521, D09-1108, W07-0701, W12-3150, W10-1732
J79-1008 ==> J81-1003, J79-1075a, P81-1009, P82-1009, P84-1043
E14-1005 ==> P14-1005, W12-4503, W12-2501, E09-1051, D12-1114
H89-2027 ==> H89-2006, H90-1004, H90-1003, H91-1048, H91-1013
P04-1084 ==> P04-1083, N03-1021, I05-1054, P96-1016, J12-3008
L08-1085 ==> W14-4916, S12-1018, W04-2323, W14-0701, W06-3401
N10-1070 ==> P07-1110, W06-1009, J05-4003, I08-6001, L08-1582
P83-1008 ==> P86-1037, E85-1004, J82-3003, P86-1030, A88-1008
P06-4017 ==> W06-0608, P05-1041, W08-2204, W04-1901, W10-1826
W04-0854 ==> W00-1101, W05-0213, W04-1702, N03-4012, W10-0909
J98-3003 ==> A00-2034, W94-0318, W96-0404, C94-1055, C94-1043
W04-3103 ==> N07-2036, W08-0606, W08-1203, W10-1910, A97-1004
D12-1087 ==> W12-3305, P11-1148, E14-4005, E12-1060, E09-1013
N01-1016 ==> N04-1011, P99-1053, W05-1519, W02-1007, P06-1021
W08-0113 ==> W00-0744, W10-4151, W12-3506, N04-1029, W07-1604
P88-1020 ==> J84-2002, P89-1025, W90-0112, P82-1036, C94-1054
C92-1012 ==> W91-0102, P95-1012, C92-1016, W99-0506, P04-1031
W13-3407 ==> W13-3405, W08-0211, L08-1158, S14-2137, W10-3405
W97-1305 ==> J01-4002, C96-2158, L08-1603, W06-3501, I05-2013
P12-1108 ==> P10-2038, D09-1072, P12-2071, C08-1026, D10-1078
W02-1406 ==> W03-1509, W00-1210, C02-1080, M98-1017, E03-1082
C00-1058 ==> C02-1109, C04-1099, W98-1112, W00-1405, W04-1809
J94-1004 ==> P95-1021, W06-1506, P93-1017, J95-4002, J05-2003
W13-2221 ==> W12-3150, D14-1176, C10-1118, P11-2067, D14-1210
I05-2009 ==> W03-1102, W02-1907, A00-2024, I08-2101, N07-3005
N13-1123 ==> D12-1006, W14-2715, D10-1121, P12-1042, W10-0214
P10-1029 ==> S12-1028, W11-0319, D08-1106, W09-1116, W03-1015
P08-4001 ==> N07-4014, W07-0302, P10-3002, W12-1805, P08-2031
C14-1073 ==> C94-1004, E99-1052, E93-1069, W05-1106, C04-1118
P14-1072 ==> P13-1079, W13-2803, W10-0504, W13-2219, W13-2222
W03-1716 ==> W03-1311, C02-1055, W02-1816, W00-1209, J98-1001
C90-2074 ==> C86-1069, J97-3003, P96-1043, C96-2130, E95-1022
S14-2005 ==> P14-1082, S13-2034, S13-2033, W13-0801, S10-1002
P13-1020 ==> W09-1801, P14-2054, P11-1049, D13-1047, D14-1076
W01-0725 ==> W01-0708, W01-0723, W01-0724, W10-3603, P06-2001
P09-1060 ==> D07-1063, P09-2013, C04-1002, P07-2057, P06-2046
N07-1058 ==> N12-1063, E09-1027, E09-3003, W12-2208, W13-1506
C94-2206 ==> C94-1066, W10-2205, W97-1108, I08-3013, E09-1036
P08-1117 ==> P09-1115, W10-3910, C10-2047, D11-1048, P14-2011
H93-1061 ==> H92-1022, W04-0830, W02-0107, H94-1021, C94-1042
W14-6103 ==> C10-2013, W14-4814, D07-1123, P11-2033, W12-3412
W07-1022 ==> W07-1031, C08-1033, W06-3316, W06-3328, W09-1405
Q14-1003 ==> D13-1084, W14-4204, P12-1102, W14-3910, N10-1027
N04-4027 ==> W01-0719, W10-2603, C04-1128, W01-1011, P05-1037
D13-1142 ==> E14-4021, P14-2076, P13-1166, P14-2078, W14-6202
W05-0305 ==> W14-4916, L08-1093, W06-0305, I08-7009, W14-0701
H93-1086 ==> W07-1417, N12-1021, S12-1094, P11-1076, L08-1335
P99-1044 ==> P98-1082, C04-1087, C96-1083, P97-1004, P99-1050
E99-1028 ==> W04-2406, N03-3004, N06-4007, W06-2502, P05-3027
C00-2159 ==> W09-3407, C94-2210, W09-3517, W09-3107, W09-3502
A94-1012 ==> C94-2134, E93-1027, W97-1511, C92-1022, W96-0114
E95-1030 ==> J11-2007, C00-2168, W93-0308, W14-4703, W97-0709
C14-1012 ==> D13-1128, D11-1041, W14-5406, D13-1072, W09-2802
C02-1108 ==> W98-1206, P06-2004, N03-3010, W99-0618, J11-4009
L08-1347 ==> W98-1013, W06-1004, L08-1579, P06-1118, W04-2210
W14-1820 ==> W11-2308, W14-1213, W14-1821, W14-1819, W10-1001
W14-2705 ==> W14-3101, W14-2712, W10-2914, C14-1013, P10-1077
W11-1202 ==> P06-2065, W99-0906, P13-1060, W11-1511, D08-1085
J79-1035a ==> T78-1011, J81-1001, P83-1005, T78-1015, J81-4001
H05-1106 ==> P06-1099, E06-1043, C04-1087, W14-0809, L08-1448
E06-1033 ==> W03-0316, L08-1576, I08-2120, W02-1819, W14-5309
W13-2901 ==> W14-1215, P11-2117, P12-1107, W13-2902, C14-1188
P97-1047 ==> C00-2123, W01-1408, C96-2141, P97-1037, P98-2162
W13-1013 ==> W11-0812, C90-3043, W10-1812, W11-0132, L08-1155
L08-1604 ==> W09-2508, W10-3305, P07-2042, W12-4004, D09-1099
C04-1104 ==> P06-2043, P04-2008, P07-3016, W02-0905, W14-2005
D13-1103 ==> N10-3006, P12-1067, N09-2061, P06-4018, S13-2005
P86-1029 ==> P85-1025, T87-1034, P89-1008, C94-2182, C92-1038
P13-1051 ==> D11-1036, D07-1099, S14-2008, W10-1411, D07-1098
W98-1419 ==> W96-0410, W00-1416, C08-1055, P99-1006, P97-1026
W11-0135 ==> L08-1038, E09-1025, P11-2057, N10-1146, W07-1412
W06-0104 ==> W06-0133, I08-4024, W06-0141, W06-0137, W10-4127
P00-1078 ==> C00-2116, H01-1070, W02-1605, C96-2208, W03-1704
P98-2141 ==> A94-1038, N01-1019, A94-1017, C92-2121, C94-1003
W11-2145 ==> W10-1719, W09-0421, E14-4037, W10-1710, N13-1002
H91-1098 ==> H91-1019, H92-1074, H90-1065, H92-1083, H90-1066
P04-2005 ==> H05-1069, W07-2099, W07-2092, W11-0128, W10-2317
W10-1102 ==> W14-5314, L08-1227, N09-2026, D11-1087, W14-4309
J87-3008 ==> E87-1003, C86-1065, C86-1066, J92-1003, E89-1007
H92-1024 ==> H92-1027, H92-1030, E93-1040, P92-1017, P93-1035
A94-1003 ==> C96-2110, A94-1004, C94-2108, W06-1109, I08-2141
P14-2008 ==> N12-1073, W06-1613, P10-2069, P09-1028, P08-2065
W96-0508 ==> P84-1002, E95-1042, E91-1021, W96-0401, W94-0315
W00-0507 ==> A00-1018, E03-1032, P09-4005, P11-4012, E09-1008
W06-2929 ==> P06-2101, W06-2936, W06-2920, W05-1504, W06-2928
C96-2204 ==> W99-0504, C94-2168, C80-1036, W10-1303, W09-2818
J87-1002 ==> P11-1099, P86-1032, W14-2108, C90-3024, W11-2030
D07-1016 ==> P05-2023, I08-1058, N10-1027, P12-1102, P12-3005
W12-0509 ==> W02-0225, W02-0213, W01-1627, W98-0319, N06-2021
P92-1018 ==> C02-1028, P93-1018, E09-1009, W05-1502, J87-1006
W00-1407 ==> W00-1402, J98-3002, P00-1020, W08-1110, N10-2005
W14-1615 ==> D10-1056, N12-1045, P14-2132, E09-1042, D10-1078
C10-2009 ==> D10-1031, P11-1146, W11-0106, W09-2415, S10-1046
W13-2260 ==> W11-2130, W09-1114, D13-1201, W10-1732, D14-1209
P99-1074 ==> P99-1053, D09-1077, P97-1033, P06-1021, C08-1072
W13-2105 ==> P13-3023, C10-1012, D12-1085, W12-1506, W10-4237
S10-1066 ==> W07-2038, I05-1070, W07-2005, W05-1001, W07-1518
P09-2073 ==> P10-4008, S13-2099, W07-1418, W09-3714, S13-2005
C08-1145 ==> W09-0405, C14-1193, P08-3005, D09-1114, D07-1029
W12-3706 ==> P10-1043, P13-1173, C14-1127, C14-2025, W13-1616
A92-1029 ==> E91-1050, W96-0309, C92-3154, W98-0603, P97-1018
P97-1026 ==> W96-0410, W98-1419, W94-0314, P99-1006, E03-1062
W07-2075 ==> W10-4164, W10-4173, W06-3814, J14-3007, W06-1669
W98-1308 ==> W99-0703, C10-1115, L08-1591, I08-3013, W97-1108
W11-0805 ==> W04-0823, P12-2051, E14-4004, P11-3018, W11-0818
W07-2013 ==> W10-3405, W10-0208, L08-1158, D08-1015, P05-2008
P11-2099 ==> P09-2040, W11-1712, C08-1031, S13-2059, P10-2062
W94-0109 ==> H94-1042, W97-0615, E09-1069, C92-1060, J96-3007
P07-2033 ==> D10-1105, W14-4507, N09-5005, I05-7005, W07-2086
W10-2004 ==> P10-1121, W11-0612, W14-2002, W13-2605, W10-2010
W12-2505 ==> C10-2010, N09-2007, W11-1218, P13-1061, W10-4110
A97-1021 ==> C96-1055, I08-2106, W00-0207, P97-1020, E12-1070
W09-3727 ==> W08-2223, S12-1079, N13-1051, P10-5006, W09-1510
J11-2002 ==> N07-1020, D09-1070, C04-1152, W05-0617, E12-1067
C94-1072 ==> C94-2144, P91-1031, N10-1032, W08-2224, J91-1004
H91-1020 ==> C82-1006, H89-2018, H94-1053, H91-1014, H89-1012
C02-2007 ==> T75-2009, C92-4196, C90-2028, I05-7002, T75-2006
T78-1013 ==> J81-1001, J79-1035a, T78-1011, T78-1015, P83-1005
P98-2190 ==> L08-1470, W94-0107, C92-2066, J02-3005, N06-1044
W04-0503 ==> W04-0502, W06-1908, H89-2036, H90-1074, W04-0507
W09-3539 ==> W09-3519, P09-4008, W09-3510, W00-0501, P07-2008
H90-1057 ==> A94-1011, X96-1033, P06-2053, C96-2134, X96-1030
P13-1115 ==> P10-3013, W07-0606, D14-1004, P10-1046, C10-2142
W09-0307 ==> N10-1027, W14-3910, W14-3902, N07-1057, I08-1069
W06-1001 ==> L08-1362, W09-0712, W98-0905, C86-1113, W02-0104
W06-2113 ==> W04-2608, P98-2201, P98-2234, W99-0614, J99-2007
W03-0112 ==> P01-1034, W02-1706, W03-1313, W04-0607, W06-2304
N09-1028 ==> E12-1074, P12-1096, N13-1032, D08-1089, D12-1077
C96-2102 ==> I05-2002, P96-1052, C94-1069, W10-4108, J04-2005
E83-1029 ==> C82-1002, P84-1106, T75-2004, P80-1002, E03-2002
P13-1104 ==> P14-2128, W13-3518, P09-1040, N12-1054, N09-2066
C90-3037 ==> C92-4171, E89-1014, C94-1024, E95-1038, E85-1019
L08-1048 ==> P06-2090, W98-1216, C00-2117, P97-1005, W14-0908
H89-2041 ==> H89-1024, H89-1010, H90-1064, H89-1042, H89-1016
S12-1086 ==> P12-1091, S14-2039, S12-1051, P14-2036, S12-1083
C14-1051 ==> P12-1025, P14-6008, P14-1125, P11-1139, D12-1029
W11-2033 ==> W08-0114, W02-0216, W06-1309, W02-0201, W02-0217
S12-1043 ==> S12-1036, W09-1304, W10-3110, J12-2005, W10-3111
W01-1004 ==> W01-1002, W02-1302, A97-2017, W01-1003, H01-1040
W10-3214 ==> E09-1079, L08-1451, W11-1505, W06-1111, C02-1021
W99-0313 ==> W02-0208, W07-0312, W97-0601, W01-1621, W08-0128
W07-2041 ==> W07-2104, W10-4160, W06-0504, W07-2019, C14-1030
W05-0809 ==> W05-0801, W05-0810, W06-3107, W08-1403, W05-0813
W01-0808 ==> W01-1402, W01-1414, A00-1009, W02-1604, W01-1406
W08-0804 ==> P11-3022, P07-1056, P08-2065, P09-2080, W13-1616
C86-1051 ==> P84-1095, P86-1019, J87-3003, C88-2166, P85-1034
W09-2806 ==> W06-1401, P09-2027, W13-3101, C10-2122, W13-3103
W06-0124 ==> N07-2050, C04-1058, W04-1105, W07-1712, I08-4032
E03-1008 ==> P06-1043, N06-1020, W03-0407, P07-1078, W01-0501
D11-1119 ==> W13-3603, W13-1708, W11-1410, W13-3605, P11-4005
N06-2040 ==> L08-1033, P02-1048, W09-0610, W12-3505, P03-2005
E85-1010 ==> P84-1116, A88-1023, C92-4188, P87-1004, C82-1044
D10-1004 ==> D10-1125, S14-2082, P14-2107, Q14-1004, Q13-1004
N10-2001 ==> C08-1033, W09-1901, W11-0118, W11-1813, W12-0910
W06-1318 ==> L08-1009, J05-3001, W06-1306, J07-1002, L08-1330
W14-0207 ==> P10-1083, W12-2802, P11-1028, D12-1040, W13-4060
W14-1010 ==> D12-1089, P09-2060, C10-1056, D07-1103, D14-1016
W07-1523 ==> W08-2230, L08-1345, P05-2010, W03-1902, W04-0713
W03-0407 ==> E03-1008, P05-1044, W11-0223, N06-1020, P07-1078
P86-1023 ==> E93-1038, P98-1111, C90-3050, P85-1030, C86-1143
W12-3157 ==> P12-2056, P10-1016, E14-1004, W14-3332, P11-3001
C02-1031 ==> P09-1071, W01-1305, W12-1502, W06-2111, W06-2107
C04-1070 ==> S12-1093, W11-1204, P94-1019, P06-1068, H93-1086
P04-3030 ==> W09-0602, W98-0608, E03-2005, C00-2088, W00-1404
N06-1041 ==> P07-1094, D08-1036, P08-1099, P07-1036, D09-1134
C10-2122 ==> W13-3103, D09-1032, W09-2806, P07-2015, W13-3102
W12-2009 ==> J13-3001, D11-1009, W07-1410, P11-2096, C14-1190
P14-1022 ==> P08-2054, P14-1099, W13-3507, P12-1024, N13-1015
D13-1031 ==> W10-4101, D11-1090, W10-4130, W10-4135, N09-1007
W97-0710 ==> W97-0707, W97-0701, N03-4008, W97-0705, A97-1042
E87-1050 ==> E87-1048, C86-1026, P84-1049, C86-1087, C96-2144
W14-2411 ==> D11-1140, P14-1112, W08-2222, W14-2416, P09-1110
C82-1034 ==> C80-1069, J85-1003, P84-1067, P84-1100, C80-1065
W06-1208 ==> C10-2120, S10-1058, W11-0815, I05-2018, C04-1195
W05-1621 ==> J09-1003, N06-2017, P06-1049, P03-1069, P13-2016
W10-0402 ==> P14-2059, W12-3213, W04-3113, W12-3209, L08-1005
P92-1052 ==> W93-0113, C02-1129, C02-2013, W03-1118, W04-1807
W07-1601 ==> A92-1008, W97-1405, W01-0811, W97-1409, A92-1010
C00-2104 ==> W04-1813, I05-1032, P06-2002, D09-1099, P05-2025
D10-1058 ==> P13-2002, P12-2060, W13-2810, D14-1197, N10-1050
H91-1077 ==> P94-1024, P90-1031, P96-1051, W02-0107, C90-3086
W02-0308 ==> W02-0307, A00-1026, W04-3110, E99-1003, W03-1314
