C02-1122 ==> H01-1043:0.9713, C00-1063:0.9076, W02-1608:0.8622, W97-0123:0.8382, I05-1005:0.8089, P98-2214:0.7719, N06-1023:0.7600, W02-1501:0.7533, W02-0906:0.7437, P09-2052:0.7376
C88-1024 ==> C90-2009:0.9641, J87-1001:0.9343, C92-1017:0.8350, W91-0113:0.7757, C92-4197:0.7658, C90-2058:0.7475, A00-1001:0.7460, C96-2153:0.7445, E87-1039:0.7436, C86-1005:0.7416
J80-2003 ==> C80-1008:0.9610, T78-1029:0.9554, J79-1063:0.9449, J81-2002:0.9395, T75-2023:0.9372, T75-1005:0.9303, T75-2012:0.9158, J79-1040:0.9128, J81-4002:0.9118, J79-1005:0.9086
W08-1135 ==> I05-2043:0.9124, T75-2029:0.9088, W12-0101:0.9070, X96-1018:0.9049, W06-3903:0.9035, E87-1043:0.9030, J79-1035b:0.9030, W09-2818:0.9002, C90-2054:0.8998, T75-2032:0.8990
P11-2074 ==> N07-1008:0.8555, W12-3159:0.8552, P11-1104:0.8552, P12-1002:0.8479, W07-0710:0.8475, N09-2006:0.8472, P06-1091:0.8468, D12-1037:0.8419, N13-1048:0.8383, D14-1183:0.8363
P05-1004 ==> W07-2032:0.8148, J09-3004:0.7846, W06-1670:0.7575, W05-1011:0.7381, E09-1045:0.7326, N06-1017:0.7280, W02-0903:0.7121, W14-1114:0.6971, D13-1122:0.6950, N03-1036:0.6883
P13-1159 ==> P13-1170:0.7553, D12-1034:0.7274, C08-1120:0.6815, D12-1057:0.6756, D11-1076:0.6715, S13-2053:0.6671, S13-2068:0.6529, C08-1024:0.6501, P14-1093:0.6456, W11-0309:0.6429
P04-1085 ==> E06-1022:0.8962, D09-1118:0.8927, W11-2005:0.8759, W08-0125:0.8731, W14-4321:0.8702, N03-2012:0.7942, H01-1051:0.7817, W04-2319:0.7693, N06-2014:0.7581, P11-2065:0.7576
E14-1060 ==> W14-2804:0.8714, D11-1057:0.8519, W02-0604:0.8465, P10-1039:0.8465, E12-1066:0.8399, W12-3903:0.8367, W06-3208:0.8306, I08-1003:0.8170, W08-0708:0.8112, W09-1010:0.8070
P07-1039 ==> W12-0109:0.8300, N09-1046:0.8203, P12-2056:0.8150, P10-1016:0.7999, I08-1033:0.7915, E09-1063:0.7855, W09-0421:0.7849, P11-1131:0.7828, P10-2001:0.7760, P11-3001:0.7730
W10-1702 ==> D14-1132:0.8761, P09-1066:0.8660, D13-1051:0.8636, P11-1127:0.8602, W11-2116:0.8537, C10-1036:0.8513, P11-1126:0.8444, N10-1141:0.8407, W11-2143:0.8281, W12-3159:0.8280
E87-1025 ==> E87-1043:0.9397, C86-1088:0.9367, T75-2017:0.9222, T75-2029:0.9195, T75-2031:0.9170, W09-2818:0.9138, E87-1013:0.9075, T75-2032:0.9072, C90-2046:0.9067, W09-2819:0.9038
D13-1115 ==> D14-1005:0.8533, P14-2135:0.7550, P13-1056:0.7276, P14-2134:0.7167, D12-1130:0.6971, P14-1068:0.6927, P14-1132:0.6811, P14-1046:0.6780, D12-1137:0.6734, W11-2503:0.6644
I05-1073 ==> W06-0103:0.8628, C02-1012:0.8522, W04-1102:0.8489, X98-1012:0.8259, N03-4013:0.7718, I05-3006:0.7675, W04-1105:0.7561, W98-1120:0.7555, W03-1718:0.7542, P03-1035:0.7515
J06-2001 ==> L08-1163:0.9352, I08-2107:0.8953, W02-1016:0.8500, P08-1057:0.8473, W14-2005:0.8473, C02-1146:0.8472, P07-3016:0.8437, N06-2039:0.8360, P12-1090:0.8308, C08-1057:0.8302
W06-1312 ==> W06-1613:0.9071, D13-1012:0.8996, W06-0804:0.8519, N06-1050:0.8503, W10-0402:0.8433, P14-2059:0.8324, P10-1057:0.8264, N07-1040:0.8205, W10-1809:0.7940, E99-1015:0.7841
P13-1072 ==> E14-2009:0.7811, D13-1031:0.7533, P07-2007:0.7456, I08-4019:0.7443, I05-3027:0.7435, C04-1081:0.7405, W10-4136:0.7267, P14-2033:0.7260, W06-0134:0.7251, N06-2049:0.7246
W06-1422 ==> W06-1421:0.9744, L08-1369:0.9533, E06-1040:0.9003, W09-0603:0.8507, P08-2050:0.8371, E06-1045:0.8285, E09-2009:0.8224, P09-2076:0.7975, N07-1021:0.7961, E09-1014:0.7894
W12-4108 ==> D08-1043:0.8774, D11-1146:0.8179, W06-3111:0.8022, W14-1204:0.7980, C14-1010:0.7943, E14-3011:0.7785, P13-2061:0.7636, S10-1034:0.7606, S10-1037:0.7553, W11-0316:0.7459
W07-1312 ==> W95-0110:0.8564, N09-1060:0.8341, W97-0901:0.7788, S10-1041:0.7386, H92-1103:0.7346, P11-4014:0.7300, C02-1149:0.7216, C73-2002:0.7183, L08-1299:0.7140, H01-1044:0.7131
P10-1022 ==> L08-1039:0.8476, W07-1517:0.8285, C10-2051:0.7993, D09-1126:0.7979, W08-2130:0.7800, P10-5001:0.7707, P10-1035:0.7693, P09-1005:0.7648, W09-1508:0.7633, P12-1052:0.7626
C96-2136 ==> W96-0205:0.8952, C94-1032:0.8257, W04-1120:0.8249, W95-0109:0.8242, W96-0113:0.8014, W97-0120:0.7959, W07-1107:0.7857, J01-1001:0.7839, W03-1804:0.7786, P05-3016:0.7719
J87-3004 ==> W91-0209:0.8036, T87-1006:0.7982, E91-1042:0.7761, C90-2008:0.7752, T87-1005:0.7611, C88-2110:0.7568, P88-1011:0.7495, J91-4003:0.7458, P85-1008:0.7386, E89-1000:0.7322
W14-0811 ==> P06-2057:0.9503, L08-1550:0.9215, W12-1902:0.8763, H05-1108:0.8221, W14-2907:0.8109, S13-1044:0.8000, C14-1121:0.7997, W09-1127:0.7870, I08-6003:0.7784, P11-2052:0.7728
W06-0406 ==> C04-1026:0.8690, W04-1510:0.8635, W06-1502:0.8615, W04-0408:0.8584, P06-1138:0.8126, W05-1605:0.8126, P01-1029:0.8076, W04-1512:0.8037, W06-0403:0.7934, W06-1513:0.7919
W97-0910 ==> P98-1072:0.7664, E95-1028:0.7401, N04-4033:0.7061, H92-1051:0.7017, E99-1012:0.7010, W97-0411:0.6984, E93-1014:0.6970, C00-2166:0.6960, C96-1032:0.6938, P97-1019:0.6934
N03-1013 ==> W06-1407:0.8185, L08-1566:0.7660, P01-1032:0.7623, P04-1048:0.7108, P10-2045:0.6731, W06-1208:0.6682, P13-4017:0.6490, C00-1007:0.6416, P96-1004:0.6323, P11-2098:0.6284
C88-2116 ==> H86-1021:0.9934, T87-1020:0.9277, C02-1124:0.9227, W13-1012:0.9106, P84-1029:0.8778, P95-1040:0.8424, J81-3001:0.8300, E85-1031:0.8280, H86-1017:0.8230, A88-1001:0.8229
C14-1176 ==> D09-1037:0.8455, D10-1117:0.8389, P10-2042:0.8346, P09-2085:0.8329, J14-1007:0.8210, P13-1077:0.8196, D14-1180:0.8191, P09-1088:0.8156, W13-3519:0.8152, W11-2167:0.8143
C14-1025 ==> Q13-1013:0.8582, W11-0122:0.8104, D14-1042:0.8052, S13-2043:0.7937, E12-1059:0.7904, P14-1044:0.7851, P10-1154:0.7796, P13-4007:0.7748, S10-1013:0.7694, S10-1090:0.7626
D07-1067 ==> W04-3210:0.8039, W06-1632:0.7514, W03-1009:0.6885, D09-1036:0.6821, W08-1801:0.6807, H05-1033:0.6747, W04-3211:0.6735, D13-1094:0.6605, P02-1026:0.6596, W14-3006:0.6550
W13-2502 ==> C10-1073:0.8400, P14-1121:0.8346, W14-1016:0.8257, W11-1206:0.8158, D13-1046:0.8077, C10-1003:0.7994, P07-1084:0.7896, W13-2503:0.7857, P11-2084:0.7854, E12-1046:0.7854
C02-1025 ==> W03-0423:0.8668, E99-1001:0.8309, M98-1021:0.8206, W02-2022:0.7883, W03-0432:0.7602, W03-0431:0.7488, P02-1060:0.7479, P05-1045:0.7419, W03-0428:0.7292, W02-2025:0.7216
P91-1027 ==> E91-1039:0.9276, H91-1067:0.8993, J87-3009:0.7367, H92-1026:0.7335, P98-1014:0.7139, H89-2013:0.6761, P93-1005:0.6672, P90-1032:0.6600, E91-1004:0.6469, P93-1032:0.6429
P94-1031 ==> W91-0108:0.8354, W91-0110:0.8352, P92-1011:0.8265, P95-1049:0.8109, C90-2033:0.8048, C94-2148:0.7997, W91-0112:0.7995, C94-1077:0.7987, W91-0103:0.7969, C92-3154:0.7952
W14-0504 ==> N12-1045:0.8806, P14-1101:0.8628, D13-1004:0.8494, C14-1219:0.8173, D10-1056:0.8049, P13-3017:0.7971, W10-2001:0.7878, W11-0301:0.7872, D09-1071:0.7832, P13-1148:0.7806
N09-2018 ==> C00-1014:0.8103, I08-1052:0.8063, C96-1023:0.7891, P98-1023:0.7879, C94-1091:0.7368, A94-1035:0.7318, W11-0822:0.6826, W04-2105:0.6761, P06-2106:0.6738, L08-1416:0.6696
A00-3006 ==> N03-4012:0.9070, W10-0909:0.8961, E06-2018:0.8560, X96-1036:0.8382, W04-3104:0.8240, E03-2007:0.8166, D09-1148:0.8162, W06-1665:0.8038, A97-2010:0.7921, W09-1124:0.7893
P06-2029 ==> P06-1041:0.8707, C02-1004:0.8698, P09-3006:0.8190, P06-1037:0.7442, I05-1017:0.7311, W09-2409:0.7259, J07-4002:0.7201, P14-3010:0.7198, H05-1035:0.7169, W09-2007:0.7124
J00-1005 ==> W98-1306:0.9488, P03-1025:0.9295, W98-1302:0.8819, P97-1058:0.8795, P01-1007:0.8476, J00-1001:0.8456, W12-6210:0.8358, C04-1065:0.8329, C02-1001:0.8288, P07-1117:0.8255
P10-1033 ==> C10-2084:0.8926, D10-1052:0.8861, D13-1026:0.8811, N10-1014:0.8702, D11-1081:0.8637, P11-2066:0.8595, N12-1004:0.8568, D09-1106:0.8527, E14-4035:0.8454, P10-1147:0.8429
H89-2049 ==> W90-0121:0.8196, W90-0113:0.8011, E85-1038:0.7784, P93-1038:0.7749, A83-1014:0.7684, C88-1038:0.7670, H86-1015:0.7667, E87-1024:0.7652, W93-0222:0.7647, C86-1037:0.7636
W14-4314 ==> W14-4315:0.9576, E09-1085:0.9419, P12-3018:0.9212, W12-1808:0.9212, W11-0144:0.9073, W12-1615:0.8829, W04-0304:0.8737, W12-1806:0.8660, W12-1814:0.8658, L08-1200:0.8596
D12-1037 ==> E14-4034:0.8730, W12-3159:0.8662, W09-0439:0.8584, N13-1035:0.8536, N13-1025:0.8524, N13-1048:0.8432, P11-2074:0.8419, W13-2214:0.8412, W11-2138:0.8410, P11-2078:0.8382
E85-1037 ==> P85-1012:0.9584, E85-1027:0.8875, H86-1019:0.8684, J82-2001:0.8526, T87-1044:0.8012, P84-1002:0.7699, H86-1015:0.7445, P87-1014:0.7407, P83-1012:0.7184, J82-2003:0.7067
P10-1103 ==> W10-4235:0.9254, E14-4041:0.8942, E09-1078:0.8876, W14-4422:0.8488, W09-3916:0.8467, P11-2115:0.8358, E06-1009:0.8357, P08-1055:0.8280, W11-2011:0.8270, P14-1047:0.8064
C86-1017 ==> C86-1093:0.9338, C86-1150:0.8665, W04-2215:0.8475, W02-1602:0.8392, C90-3060:0.8380, E87-1027:0.8330, C88-1013:0.8305, C73-2025:0.8288, W98-0513:0.8273, C00-1013:0.8092
P98-2177 ==> P97-1024:0.8388, W97-0109:0.8254, W97-0317:0.8020, P99-1081:0.7905, W99-0614:0.7816, W99-0632:0.7805, P99-1051:0.7575, P98-2234:0.7298, C02-1004:0.7289, H05-1035:0.7012
W06-0206 ==> L08-1053:0.8006, W11-0319:0.7392, S12-1028:0.7390, D10-1035:0.7345, W09-1116:0.7245, C14-1215:0.7167, W03-1504:0.7165, H05-1013:0.7029, W07-1705:0.6988, W02-2003:0.6952
D10-1036 ==> P11-1039:0.9359, D09-1027:0.9358, C08-1122:0.9062, W08-1404:0.9025, C14-1139:0.8511, W13-2407:0.8493, N10-1101:0.8386, P14-1119:0.8322, C10-2042:0.8280, S10-1034:0.8258
W07-0203 ==> S10-1037:0.9122, P05-3013:0.9104, W06-3809:0.8647, D14-1077:0.8539, W14-1204:0.8527, C10-1098:0.8473, I05-2004:0.8458, W00-1438:0.8413, E14-3011:0.8399, P04-3020:0.8345
C96-1057 ==> C96-2113:0.9924, C92-1046:0.9920, E89-1006:0.9106, C88-1033:0.9003, P98-1007:0.8620, P99-1064:0.8535, E93-1048:0.8479, C08-1037:0.8476, W13-3004:0.8456, E99-1032:0.8444
C08-1082 ==> S10-1046:0.8299, S13-2025:0.8218, W09-2415:0.8132, S10-1050:0.8043, W07-1527:0.7988, P08-1027:0.7969, W07-1108:0.7948, P07-1072:0.7916, E09-1071:0.7888, S10-1007:0.7857
W04-1113 ==> I08-2102:0.8264, W08-1901:0.8017, W07-2050:0.7980, D09-1083:0.7924, P08-1018:0.7873, W07-0907:0.7849, P03-1016:0.7826, W07-2036:0.7780, W10-1013:0.7698, W99-0907:0.7675
L08-1286 ==> W03-0307:0.9266, P04-3005:0.8681, D14-1136:0.8677, W08-2108:0.8665, I08-1024:0.8647, C02-1009:0.8566, W03-0602:0.8545, W01-1410:0.8540, N07-4004:0.8251, W05-0804:0.8131
P98-1036 ==> M98-1017:0.8849, W00-1210:0.8528, W02-2017:0.8274, W03-1501:0.8214, W03-0104:0.8167, C96-1039:0.7951, W97-0315:0.7894, C00-1024:0.7890, I08-1037:0.7850, C04-1119:0.7754
P91-1054 ==> P92-1015:0.9095, C96-1014:0.8922, E87-1035:0.8738, C94-2137:0.8315, C88-2143:0.8293, H91-1043:0.8196, W98-0805:0.8109, W10-4123:0.8017, E91-1014:0.7964, P91-1037:0.7936
P91-1022 ==> P91-1023:0.9749, C90-3031:0.9487, H91-1026:0.8288, P93-1001:0.8110, E93-1054:0.7748, H92-1053:0.7727, J93-2003:0.7705, A92-1031:0.7435, W93-0301:0.7346, P94-1012:0.7327
D09-1045 ==> W14-5418:0.8200, D10-1115:0.7885, P10-1021:0.7679, W04-3242:0.7609, E03-1002:0.7592, P13-2152:0.7559, H05-1026:0.7542, P02-1037:0.7520, W03-1021:0.7499, W11-1301:0.7324
W97-0114 ==> W97-1304:0.8544, C94-2106:0.7395, P96-1018:0.7321, A94-1032:0.7190, C02-1010:0.7077, W04-1121:0.6962, A94-1005:0.6917, C96-2137:0.6872, P98-1042:0.6745, W05-0808:0.6714
W06-1511 ==> W06-1515:0.9843, W06-1510:0.9706, W14-5816:0.9316, C94-2162:0.9240, P09-1112:0.9073, W06-1507:0.8978, P89-1028:0.8865, W06-1505:0.8861, J02-3005:0.8764, J05-2003:0.8715
D11-1054 ==> W10-2708:0.7847, W14-2708:0.7257, W13-4039:0.6691, W13-2515:0.6630, P12-2012:0.6619, D12-1136:0.6568, C14-1117:0.6414, W08-0127:0.6380, W10-0711:0.6364, N12-1074:0.6356
D11-1058 ==> D08-1070:0.8259, E09-1037:0.7810, W10-4146:0.7803, D11-1085:0.7661, W05-1515:0.7562, W10-2925:0.7491, J12-4002:0.7372, C08-5001:0.7364, S12-1072:0.7334, N12-1054:0.7254
L08-1470 ==> H93-1075:0.9477, W07-0311:0.8538, P98-2190:0.8274, H92-1013:0.8214, H90-1029:0.7879, W07-0307:0.7728, H91-1062:0.7541, H90-1019:0.7469, H92-1012:0.7395, W02-0219:0.7340
W06-1002 ==> W06-0109:0.9427, L08-1319:0.9395, W03-1726:0.9004, W04-1608:0.8363, W03-1705:0.8107, W97-0316:0.8087, P09-1085:0.7907, W02-1206:0.7865, I05-1009:0.7774, C10-2111:0.7773
W98-0501 ==> W07-2209:0.8614, P97-1043:0.8201, P99-1033:0.8079, W12-6218:0.7951, W04-1504:0.7927, C96-2122:0.7790, A97-2005:0.7716, P98-2130:0.7617, E99-1035:0.7542, W04-1511:0.7450
C92-1056 ==> P91-1019:0.8351, H92-1046:0.7712, E93-1051:0.7468, C92-2070:0.7266, H93-1051:0.7122, H92-1045:0.7035, C90-2067:0.6857, P94-1020:0.6794, P07-2035:0.6527, H93-1052:0.6472
S10-1059 ==> W09-2417:0.9226, S10-1065:0.9136, W07-2018:0.9018, S10-1008:0.8836, W11-0908:0.8822, W14-3001:0.8585, W07-2017:0.8258, W14-3008:0.8215, S10-1066:0.8171, W14-2907:0.8151
D14-1132 ==> W10-1702:0.8761, W10-1748:0.8527, P12-1031:0.8514, D09-1147:0.8457, W11-2119:0.8454, W13-0804:0.8440, P13-2071:0.8389, N13-1025:0.8383, W14-3314:0.8342, C10-1036:0.8336
W98-0504 ==> P98-1026:0.9557, P01-1021:0.8350, P01-1029:0.8342, W04-1512:0.8339, W04-1508:0.8235, W04-1502:0.7962, C02-1106:0.7869, C92-1058:0.7849, C94-2201:0.7797, W06-0403:0.7762
N03-1006 ==> D09-1142:0.8699, P04-1062:0.7837, W02-2006:0.7412, H05-1050:0.7379, W02-1030:0.6985, D07-1023:0.6714, P08-1100:0.6689, W03-0407:0.6615, W05-0807:0.6583, P08-1084:0.6504
H89-1008 ==> P86-1005:0.7899, A83-1003:0.7768, C86-1108:0.7740, H89-2006:0.7727, P86-1036:0.7672, P84-1013:0.7652, H89-1013:0.7652, P82-1010:0.7602, J84-2001:0.7531, J89-4001:0.7389
J90-1001 ==> P89-1019:0.9733, C90-3034:0.9440, P92-1005:0.8832, E91-1009:0.8064, E95-1001:0.8060, E95-1002:0.8008, E03-1024:0.7970, P93-1011:0.7809, E99-1012:0.7723, W08-0104:0.7653
P05-3002 ==> P07-2013:0.8025, N06-2004:0.7844, P05-3019:0.7737, C04-1110:0.7351, S13-2007:0.7259, S12-1067:0.7176, D14-1031:0.7175, I05-7005:0.7081, P07-2033:0.7080, S13-2018:0.7045
W98-0902 ==> W09-0802:0.9523, P14-1103:0.9323, P96-1049:0.9314, P02-1008:0.9312, W10-2202:0.9301, W97-1108:0.9294, J09-1004:0.9276, W98-0904:0.9273, P07-1117:0.9246, W13-3007:0.9223
P12-1016 ==> P13-2003:0.8162, E12-1045:0.7939, W13-2811:0.7902, P08-2039:0.7865, W08-2118:0.7830, W11-2126:0.7797, W10-1735:0.7792, W12-3130:0.7745, D13-1174:0.7690, P14-2034:0.7651
W13-2245 ==> W11-2105:0.8769, P12-1098:0.8572, W13-2253:0.8475, W14-0308:0.8398, W13-2202:0.8364, W06-1610:0.8321, P11-2027:0.8286, W13-2251:0.8252, W08-0312:0.8241, W12-2201:0.8175
P12-1004 ==> N09-1052:0.9283, W14-4605:0.8553, P06-2030:0.8280, W98-1217:0.8159, W97-0310:0.8155, J99-2007:0.8021, P13-2042:0.7954, C02-1108:0.7824, W98-1201:0.7817, N04-4031:0.7736
