C02-1122 ==> C04-1174:0.9666, H01-1043:0.9515, I08-2110:0.9413, W02-1608:0.9407, P09-2052:0.8824, I05-1005:0.8587, P06-2097:0.8408, N06-1023:0.8380, C04-1050:0.8120, P02-1028:0.7736
W06-0406 ==> C04-1026:0.9773, P01-1029:0.9140, C02-1116:0.9115, W04-1510:0.9037, W04-0408:0.9016, W06-1502:0.9004, E03-1054:0.8975, W04-1502:0.8908, C02-1113:0.8844, W06-2112:0.8832
N03-1013 ==> P01-1032:0.9666, P00-1059:0.9195, W06-1407:0.8900, W03-1002:0.7948, W01-0812:0.7576, P04-1048:0.7536, P01-1020:0.7426, C00-2126:0.7385, W05-1601:0.7307, W05-1604:0.7277
C14-1176 ==> W12-0902:0.9109, N10-1082:0.8943, P10-2034:0.8939, P12-1093:0.8876, D10-1117:0.8865, E14-4033:0.8840, P13-1083:0.8816, P12-2017:0.8804, W11-0304:0.8780, W09-1114:0.8753
C14-1025 ==> E12-1059:0.9014, S13-2043:0.8930, L08-1551:0.8872, Q13-1013:0.8871, S13-2041:0.8861, S10-1013:0.8812, S10-1087:0.8784, W09-1701:0.8753, L08-1041:0.8722, N07-1044:0.8639
D07-1067 ==> W04-3210:0.8160, P02-1026:0.7345, W04-2002:0.7310, W03-1009:0.7282, W08-1801:0.7282, W01-1201:0.7270, P09-1084:0.7255, W02-1035:0.7248, N04-1011:0.7233, W07-1215:0.7208
W13-2502 ==> W13-3523:0.8616, E12-1046:0.8564, I08-6001:0.8549, W13-2505:0.8534, D14-1129:0.8524, W11-2145:0.8502, P09-2057:0.8486, I08-2104:0.8462, P04-1067:0.8452, W11-1209:0.8369
C02-1025 ==> W03-0423:0.8267, P02-1061:0.8123, W03-0432:0.7782, P03-1020:0.7568, W03-0428:0.7512, W02-2019:0.6841, W04-2417:0.6799, P04-1028:0.6786, W02-2004:0.6783, W03-0426:0.6781
W14-0504 ==> N12-1045:0.8906, P14-1101:0.8708, D13-1005:0.8622, W10-2809:0.8438, W09-0210:0.8382, D09-1071:0.8313, P12-1020:0.8304, D13-1004:0.8266, D10-1056:0.8218, N13-1012:0.8123
N09-2018 ==> W04-2010:0.9681, I05-2018:0.9677, L08-1458:0.9401, W09-2409:0.9345, P06-2077:0.9341, C10-1137:0.8914, W14-5708:0.8900, L08-1346:0.8843, W05-0603:0.8727, H05-1105:0.8657
P06-2029 ==> P06-1041:0.9286, W08-1004:0.8979, P06-1037:0.8956, P09-3006:0.8937, L08-1151:0.8878, L08-1246:0.8722, W10-4143:0.8694, D12-1085:0.8681, C10-2129:0.8677, W08-1003:0.8647
P10-1033 ==> D14-1016:0.9392, D07-1006:0.9377, D10-1052:0.9371, P11-2066:0.9354, P11-2029:0.9329, C10-2084:0.9294, W10-3802:0.9239, J10-3002:0.9239, P13-2064:0.9213, W13-2259:0.9175
W14-4314 ==> W14-4315:0.9961, P12-3018:0.9928, E09-1085:0.9888, W12-1808:0.9880, W11-0144:0.9848, W11-2015:0.9817, W12-1814:0.9785, W12-1806:0.9762, N10-2009:0.9719, N13-1129:0.9692
D12-1037 ==> E09-1061:0.9544, W14-3314:0.9469, W11-1009:0.9461, N12-1035:0.9405, W11-2140:0.9332, D14-1021:0.9308, P13-1032:0.9297, W10-1724:0.9280, P14-2080:0.9231, E14-4037:0.9226
P10-1103 ==> E14-4041:0.9752, W09-3916:0.9677, W14-4422:0.9632, P14-1047:0.9579, J11-3003:0.9491, D12-1007:0.9468, W12-1606:0.9454, E06-1009:0.9445, P08-1055:0.9394, W12-1635:0.9376
W06-0206 ==> L08-1053:0.9261, P11-1117:0.8916, W09-1116:0.8781, P04-2010:0.8699, E09-3006:0.8698, D09-1128:0.8531, C10-1105:0.8405, E06-1030:0.8358, P09-2089:0.8305, S10-1020:0.8301
D10-1036 ==> S10-1040:0.9809, D09-1027:0.9658, L08-1304:0.9630, W13-2709:0.9625, S10-1034:0.9607, W14-1204:0.9579, W08-1404:0.9579, N04-4005:0.9533, P14-5006:0.9533, S10-1004:0.9482
W07-0203 ==> S14-2037:0.9924, S10-1037:0.9916, E14-3011:0.9908, P05-3013:0.9894, W08-1404:0.9875, W14-1204:0.9845, W10-3306:0.9839, L08-1304:0.9786, W06-3804:0.9759, S10-1030:0.9734
C08-1082 ==> I08-1074:0.8913, S13-2025:0.8764, N09-2060:0.8724, S10-1046:0.8562, W07-1108:0.8521, P07-3013:0.8517, W07-2082:0.8389, W09-2415:0.8333, J09-2003:0.8316, E09-1071:0.8315
W04-1113 ==> P03-1016:0.9513, H05-1126:0.9478, W00-1016:0.9425, I05-1012:0.9349, P03-2027:0.9311, I05-2006:0.9306, C02-1084:0.9234, C02-1161:0.8924, I05-1066:0.8916, W03-1605:0.8861
D09-1045 ==> P04-1003:0.9699, W11-0114:0.9586, S14-2055:0.9363, E14-1046:0.9341, W11-2507:0.9332, W12-1008:0.9311, S13-1001:0.9304, W11-1301:0.9243, C14-1137:0.9207, P14-2051:0.9118
W06-1511 ==> W06-1510:0.9953, W06-1515:0.9941, J05-2003:0.9922, P09-1112:0.9885, W06-1507:0.9875, W04-1503:0.9428, J01-1004:0.9220, W03-1601:0.8836, I05-5005:0.8107, A00-1012:0.7789
D11-1054 ==> D12-1136:0.8682, W13-2515:0.7352, W13-4051:0.7205, W13-4039:0.7173, P12-2008:0.6842, P12-2012:0.6770, N12-1089:0.6516, P09-1096:0.6515, D10-1009:0.6515, W13-3107:0.6512
D11-1058 ==> D08-1070:0.9267, W05-0636:0.8594, D14-1041:0.8585, W07-1509:0.8473, N09-1018:0.8359, W10-4146:0.8276, P10-2018:0.8259, C10-2083:0.8225, P13-1043:0.8201, Q14-1005:0.8199
W06-1002 ==> W06-0109:0.9946, L08-1319:0.9929, W03-1726:0.9912, W02-1811:0.9727, W03-1705:0.9482, I05-1009:0.9467, W04-0105:0.9273, W02-0605:0.9186, W02-0603:0.9107, W05-0503:0.9067
S10-1059 ==> S10-1008:0.9774, W07-2017:0.9530, W11-0908:0.9520, S10-1066:0.9507, W07-2018:0.9464, S10-1065:0.9456, W14-3001:0.9444, C08-1084:0.9381, W09-1127:0.9241, W09-2417:0.9232
D14-1132 ==> W11-2140:0.9203, P13-1032:0.9172, W09-0426:0.9103, E14-1065:0.9074, N13-1034:0.9060, W12-3150:0.9052, E14-1003:0.9034, N13-1033:0.8993, W09-2306:0.8972, P11-1021:0.8954
N03-1006 ==> P04-1062:0.9185, D09-1142:0.8762, P10-2020:0.8408, W05-0807:0.8349, H05-1050:0.8114, P04-3032:0.7709, W05-0811:0.7652, W05-1508:0.7597, N12-1069:0.7583, H05-1036:0.7513
P05-3002 ==> N06-2004:0.9004, P05-3019:0.8425, W10-3702:0.8138, C04-1124:0.8093, D10-1105:0.8089, W10-0902:0.8081, C14-1139:0.8075, J09-2001:0.8019, W14-4507:0.7965, D11-1093:0.7961
P12-1016 ==> W13-2811:0.8868, P08-2039:0.8843, W08-2118:0.8782, P14-1010:0.8694, D14-1095:0.8688, W14-3614:0.8612, P11-1004:0.8609, P10-1047:0.8539, N06-2013:0.8534, W14-3618:0.8528
W13-2245 ==> W13-2254:0.9372, P08-3005:0.9310, W13-2203:0.9290, P12-1098:0.9246, N10-1031:0.9239, W11-2105:0.9222, P11-2027:0.9213, L08-1145:0.9201, P09-1035:0.9187, W13-2202:0.9164
L08-1605 ==> W14-4305:0.9619, W04-1302:0.9610, W12-1001:0.9600, P09-4011:0.9597, W06-3705:0.9588, I05-2003:0.9587, E14-1034:0.9574, W14-2510:0.9567, W13-3407:0.9560, P01-1054:0.9555
P06-2023 ==> N13-2003:0.9121, L08-1281:0.9098, P05-1075:0.9095, I05-1088:0.8922, P01-1013:0.8853, P06-2040:0.8707, W03-1704:0.8704, P06-1076:0.8640, H01-1070:0.8606, W14-5817:0.8567
W06-2410 ==> P00-1011:0.9382, E03-1018:0.9350, W09-0624:0.9337, W99-0108:0.9319, C02-1140:0.9302, W05-0506:0.9287, P10-1082:0.9282, C10-2128:0.9280, P01-1033:0.9280, W10-2203:0.9279
P04-1043 ==> W04-2403:0.9701, E09-1024:0.8286, P10-1090:0.7983, E09-1066:0.7895, W07-2062:0.7845, N09-2022:0.7830, P08-1091:0.7830, E06-1015:0.7821, P06-1117:0.7819, I08-2109:0.7678
I08-4020 ==> H05-1020:0.9591, W02-1501:0.9503, W09-2818:0.9500, W02-0101:0.9499, N03-5005:0.9490, W12-2306:0.9486, W13-3525:0.9483, P04-1012:0.9478, H05-1121:0.9476, C04-1025:0.9476
S13-2043 ==> W13-5003:0.9563, L08-1551:0.9501, J10-1004:0.9466, S13-2041:0.9457, E06-2006:0.9388, W09-2401:0.9380, S10-1094:0.9309, P10-1138:0.9306, S10-1013:0.9257, W06-2007:0.9256
P07-1075 ==> P06-2074:0.8888, P11-1113:0.8669, C10-2058:0.8655, H05-2012:0.8491, D09-1016:0.8357, E12-1030:0.8333, P09-2015:0.8309, C04-1126:0.8292, P14-1076:0.8290, P13-1145:0.8283
P09-1061 ==> W04-3010:0.8552, N03-3002:0.8521, N06-1029:0.8465, N10-1109:0.8443, S10-1080:0.8403, W14-4016:0.8365, D10-1024:0.8049, D07-1043:0.8026, W10-2001:0.7944, N09-2021:0.7830
L08-1554 ==> W04-0819:0.9773, W07-2102:0.9698, W08-1801:0.9182, W04-3211:0.9000, W05-1001:0.8965, W07-1215:0.8896, D08-1034:0.8875, W14-2909:0.8867, W08-1604:0.8810, P09-1003:0.8801
E03-1030 ==> C08-1032:0.9759, W13-2131:0.9749, P06-2032:0.9726, L08-1023:0.9663, E06-2005:0.9654, P14-5009:0.9575, W06-3904:0.9563, P06-1052:0.9549, P05-2024:0.9504, I05-6011:0.9480
W00-0737 ==> W00-1309:0.9869, P02-1060:0.9771, C04-1004:0.8744, N03-2014:0.8678, W06-0125:0.8630, W03-1731:0.8454, W03-1121:0.8439, W06-0905:0.8411, W01-1306:0.8406, P03-2031:0.8267
S14-2132 ==> P14-1082:0.9306, S10-1024:0.9302, S14-2123:0.9272, W12-4201:0.9258, S10-1053:0.9201, S14-2005:0.9117, S13-2033:0.9064, W11-2203:0.8980, S13-2029:0.8852, P11-2055:0.8828
P06-2079 ==> L08-1620:0.9176, P09-1078:0.9139, D09-1064:0.9133, C10-2153:0.9075, W10-0216:0.9057, W10-3505:0.9045, Q14-1013:0.9027, P13-2093:0.8995, W10-4119:0.8990, P10-1042:0.8982
N12-1089 ==> W14-0404:0.9706, D10-1009:0.9652, P09-1096:0.9648, C10-2022:0.9485, C08-1056:0.9273, W11-2212:0.9226, L08-1060:0.9218, W14-5815:0.9207, W14-3327:0.9184, W12-4406:0.9158
W09-0412 ==> W10-1706:0.9092, W13-3521:0.8956, W11-2151:0.8862, E12-2003:0.8796, L08-1113:0.8648, W08-0321:0.8642, W11-2120:0.8618, W14-0817:0.8615, W11-1004:0.8609, W09-0425:0.8596
W09-3920 ==> E06-3002:0.8709, C10-1117:0.8654, N12-2012:0.8652, P10-1018:0.8629, L08-1615:0.8564, L08-1614:0.8534, W14-2109:0.8494, W08-0616:0.8445, I08-2083:0.8367, D13-1092:0.8344
N04-1039 ==> P02-1002:0.8985, P06-1124:0.8973, C14-1014:0.8015, W03-1020:0.7537, W04-3237:0.7421, P08-2036:0.7418, N13-3006:0.7407, N09-1051:0.7333, W10-2809:0.6832, P10-2056:0.6799
W10-4226 ==> L08-1399:0.9963, S10-1018:0.9932, I05-1063:0.9662, C04-1075:0.9569, W07-0803:0.9534, P07-1131:0.9383, W06-3605:0.9373, W14-1104:0.9346, W11-1823:0.9320, N13-2001:0.9303
H01-1013 ==> P99-1079:0.9669, C02-2015:0.9595, P09-2042:0.9588, P01-1021:0.9586, P03-1053:0.9582, C00-1018:0.9578, P99-1004:0.9577, C00-1055:0.9564, W08-1912:0.9563, C00-2149:0.9556
W09-3839 ==> W09-3306:0.9625, J12-3006:0.9570, I05-1019:0.9492, E09-1069:0.9479, W09-3035:0.9474, W09-3212:0.9464, W05-1102:0.9423, W09-3822:0.9397, W10-2606:0.9356, W04-0812:0.9356
W12-1812 ==> W13-4067:0.9510, W10-4306:0.9495, W13-4073:0.9493, P03-1031:0.9439, W11-2016:0.9432, W13-4072:0.9347, W13-4070:0.9322, W13-4069:0.9283, W11-2002:0.9246, P08-2019:0.9246
W03-0404 ==> W03-1014:0.7937, P05-1017:0.7878, C10-2169:0.7748, P13-2148:0.7703, W12-0607:0.7678, D09-1131:0.7654, E06-1025:0.7637, W14-5803:0.7573, W07-2022:0.7541, W08-1124:0.7539
C14-1129 ==> P14-1117:0.7741, P08-1040:0.7604, P05-1036:0.7522, C14-1188:0.7447, N09-1017:0.7405, W14-4416:0.7387, D14-1085:0.7341, D09-1041:0.7340, N07-1023:0.7230, D14-1076:0.7222
C14-1206 ==> P13-2139:0.8514, W14-3705:0.8469, E14-1068:0.8314, D12-1062:0.8249, W14-0702:0.8224, W11-2023:0.8197, W13-3110:0.8172, C10-1001:0.8168, P14-2082:0.8162, P14-1094:0.8162
W12-0905 ==> P11-1136:0.9649, L08-1109:0.9606, W08-1307:0.9559, W10-0609:0.9549, W12-0910:0.9521, P09-3001:0.9505, W14-5205:0.9494, W08-1305:0.9478, L08-1306:0.9454, W12-0906:0.9430
D13-1105 ==> J11-2002:0.8965, W08-2117:0.8928, E12-1067:0.8871, D09-1070:0.8868, E14-2006:0.8840, I08-1003:0.8811, W02-0605:0.8781, W05-0503:0.8779, W06-3209:0.8776, W05-0704:0.8740
C02-1124 ==> W11-2609:0.9564, W11-2031:0.9536, W11-1403:0.9527, N10-1055:0.9526, D13-1104:0.9523, W09-3412:0.9522, I05-7012:0.9510, P03-2019:0.9504, I05-2003:0.9501, W14-2510:0.9499
P10-2034 ==> W10-2902:0.9204, W12-1911:0.9035, P12-2017:0.8976, N09-1009:0.8942, P14-2132:0.8941, C14-1176:0.8939, D14-1139:0.8827, D14-1035:0.8826, W12-1903:0.8794, W11-2204:0.8772
W14-3303 ==> W11-2131:0.9517, S14-2085:0.9387, W14-3302:0.9243, P13-2047:0.9096, W07-0725:0.9016, W13-2208:0.8971, D14-1026:0.8968, W05-0806:0.8948, W10-1714:0.8938, W13-3304:0.8917
C14-1210 ==> W11-2166:0.9422, P11-1065:0.9422, D11-1019:0.9388, P13-1156:0.9356, P14-2026:0.9341, W11-2143:0.9323, D14-1019:0.9294, W13-0803:0.9288, W14-4018:0.9281, P12-1100:0.9268
W03-0201 ==> W14-6205:0.8861, W06-1624:0.8753, W03-0408:0.8498, P03-1042:0.8483, W03-0310:0.8477, W11-0203:0.8381, P06-1027:0.8236, W12-2418:0.8225, J04-3004:0.8222, J04-3001:0.8158
D07-1107 ==> N01-1010:0.8984, W11-1413:0.8972, W00-0104:0.8968, W13-5003:0.8848, I05-1080:0.8673, W09-2402:0.8643, S10-1090:0.8640, I05-1081:0.8639, W04-0864:0.8616, W08-2114:0.8590
P09-2075 ==> I08-1018:0.9856, W09-1608:0.9850, D14-1077:0.9825, P13-2099:0.9741, W09-1312:0.9726, N04-3007:0.9715, W05-0902:0.9708, P11-1155:0.9696, D11-1124:0.9686, W10-3306:0.9680
W11-1720 ==> C10-1021:0.9251, P09-1095:0.8799, W10-0206:0.8392, W09-2422:0.7956, D14-1119:0.7955, N12-1071:0.7909, W11-1725:0.7869, W12-3810:0.7833, W07-2052:0.7738, P12-4006:0.7737
D10-1105 ==> P07-2033:0.9955, D11-1093:0.9927, N09-5005:0.9915, W14-4507:0.9873, W04-2118:0.9844, I05-1050:0.9831, W11-0806:0.9789, C04-1124:0.9755, J09-2001:0.9732, W06-1205:0.9696
D13-1138 ==> P11-1021:0.9586, P11-1104:0.9579, N09-2001:0.9544, P13-1032:0.9500, W10-1720:0.9482, W08-0315:0.9463, W13-0805:0.9456, W10-3812:0.9429, D13-1051:0.9427, W11-2140:0.9420
C14-2016 ==> W04-1311:0.9076, W09-0907:0.9038, C00-2117:0.9034, P07-2014:0.8991, W07-1313:0.8985, C04-1052:0.8981, C10-1116:0.8931, N12-1012:0.8882, W06-3711:0.8869, W09-1707:0.8853
D12-1139 ==> W11-0310:0.8817, P09-2081:0.8416, P10-2008:0.8324, L08-1030:0.8275, C08-1065:0.8259, W06-1657:0.8209, C14-1085:0.8148, P11-2015:0.8120, W12-2508:0.8065, W13-1735:0.8045
W12-3118 ==> W12-3121:0.9640, W13-2250:0.9456, W13-2255:0.9452, W08-0305:0.9422, C14-2028:0.9413, W10-2916:0.9378, D13-1025:0.9318, P14-2094:0.9309, W12-3120:0.9305, P13-4014:0.9304
P03-2020 ==> W04-1814:0.9664, I05-2020:0.9651, I08-1013:0.9632, P07-1084:0.9535, I05-1060:0.9504, C04-1149:0.9424, I05-1062:0.9364, C02-2020:0.9325, E03-1023:0.9321, E06-1029:0.9277
P00-1054 ==> I05-2043:0.9578, H05-1121:0.9526, H05-1020:0.9525, W12-2306:0.9514, I05-7012:0.9491, L08-1362:0.9480, A00-1042:0.9476, W14-4919:0.9451, C02-1140:0.9451, W07-0213:0.9446
W10-4228 ==> J08-3002:0.9570, C10-2121:0.9528, W06-3606:0.9415, W09-3939:0.9340, P10-1005:0.9264, P03-2013:0.9230, W04-0714:0.9144, I05-1063:0.9121, W09-3031:0.9118, W09-3301:0.9083
P13-1123 ==> W13-2129:0.8602, P10-1157:0.8474, W13-2123:0.8460, W13-4005:0.8423, E14-1055:0.8398, W05-1627:0.8355, W05-1613:0.8327, W06-1404:0.8266, W10-4208:0.8250, P11-2115:0.8236
W12-3213 ==> L08-1005:0.9494, L08-1291:0.9451, W10-1114:0.9148, W10-0402:0.8784, W12-3209:0.8370, D07-1089:0.8289, C10-2145:0.8143, P11-4020:0.8060, P14-2059:0.7998, W06-1312:0.7974
E03-1002 ==> W03-1021:0.9622, C02-1157:0.9354, W04-0305:0.9301, P11-2110:0.9165, W06-3315:0.9141, P06-2113:0.9114, W04-0303:0.9031, W06-1636:0.9029, P03-1066:0.8996, W03-0321:0.8909
P06-1054 ==> W03-1706:0.8816, P11-1141:0.8588, P07-1099:0.8255, W03-1025:0.7973, P12-1026:0.7927, P13-1013:0.7898, W06-0104:0.7791, P13-2110:0.7728, P14-1069:0.7712, J11-1005:0.7707
E09-1020 ==> N12-1004:0.8311, P06-3003:0.8270, W10-2502:0.8193, P04-1064:0.8181, W05-0813:0.8048, P14-1139:0.8047, W14-3362:0.7933, W10-3812:0.7895, W11-2160:0.7781, C10-1126:0.7770
N12-2010 ==> D08-1020:0.9331, W14-3706:0.9077, J10-2002:0.8953, C10-2032:0.8896, D12-1043:0.8842, E09-2013:0.8778, N12-1063:0.8754, W10-1002:0.8679, P13-1010:0.8609, W13-2904:0.8575
S12-1020 ==> W09-2510:0.9929, W08-1602:0.9744, E09-1001:0.9657, P08-1111:0.9614, W03-0906:0.9571, W06-3907:0.9513, W08-2203:0.9506, W04-1905:0.9413, W07-1218:0.9411, I05-2035:0.9399
E09-1097 ==> P06-2029:0.8434, E12-1036:0.8170, P06-1041:0.8112, D12-1085:0.8108, P10-1075:0.8094, P06-2047:0.8031, P11-2044:0.8029, C08-2012:0.7981, W07-0709:0.7958, P04-1030:0.7935
C00-1053 ==> C00-1054:0.9982, P02-1048:0.9979, W12-3505:0.9832, W07-0303:0.9828, N04-4012:0.9826, P07-1048:0.9819, P03-2005:0.9808, W08-0801:0.9756, N06-2040:0.9714, C10-2178:0.9651
W04-2214 ==> L08-1404:0.9878, C04-1163:0.9692, W02-0801:0.9413, S10-1092:0.9239, W02-1304:0.9231, W06-1710:0.9156, I05-1067:0.8989, W06-1700:0.8903, W02-1101:0.8843, P06-1092:0.8832
