C02-1122 ==> H01-1043:0.9442, C04-1174:0.9189, W02-1608:0.8612, I08-2110:0.8189, N06-1023:0.7853, C02-1051:0.7767, P09-2052:0.7687, I05-1005:0.7587, P06-2097:0.7444, P06-2076:0.7384
W08-1135 ==> W02-0112:0.8153, W02-0106:0.8023, W05-0108:0.7980, N03-5005:0.7876, W09-3918:0.7864, W02-1113:0.7835, J99-2002:0.7830, N04-3003:0.7797, H01-1032:0.7775, W13-4018:0.7761
P11-2074 ==> W10-3814:0.8337, N07-1008:0.8214, N09-2006:0.7943, P12-1002:0.7914, W12-3160:0.7908, D08-1023:0.7905, D08-1060:0.7890, P11-2029:0.7851, W14-0611:0.7829, P13-1110:0.7811
P05-1004 ==> J09-3004:0.8341, W07-2032:0.8241, W14-1114:0.7889, N06-1017:0.7810, W10-3906:0.7486, W04-0842:0.7217, W06-1670:0.7212, N07-1024:0.7174, E09-1045:0.7045, C04-1115:0.6980
P13-1159 ==> P13-1170:0.8044, P14-1093:0.8007, D12-1034:0.7973, D12-1057:0.7495, C08-1120:0.7292, C14-1135:0.7114, D11-1145:0.6867, P08-1047:0.6764, D11-1076:0.6626, C10-1127:0.6595
P04-1085 ==> N06-2014:0.8850, N03-2012:0.8692, W08-0125:0.8585, W08-0123:0.8570, E06-1022:0.8481, N07-4009:0.8452, P11-2065:0.8442, D09-1118:0.8432, W14-4321:0.8370, W11-2005:0.8339
E14-1060 ==> W14-2804:0.9546, E12-1066:0.9204, D11-1057:0.9068, E12-1067:0.8842, W06-3209:0.8372, I08-1003:0.8270, W05-0503:0.8255, E14-2006:0.8241, D09-1070:0.8186, D13-1105:0.8176
P07-1039 ==> W12-0109:0.8490, I08-1033:0.7869, W09-0421:0.7693, W08-0326:0.7667, P06-1002:0.7599, E09-1063:0.7574, W07-0715:0.7462, D09-1050:0.7458, P08-1112:0.7378, P11-3001:0.7271
W10-1702 ==> W10-1742:0.8348, W09-0416:0.8323, P11-1127:0.8289, W11-2116:0.8035, W11-2142:0.7916, D14-1133:0.7858, N10-1141:0.7770, W12-3110:0.7743, N13-1035:0.7670, W10-1717:0.7666
D13-1115 ==> P14-2135:0.8222, P13-4032:0.7519, P14-1068:0.7496, P12-1015:0.7425, W11-2503:0.7278, D14-1005:0.7254, D12-1137:0.7189, W14-0818:0.7125, P11-1096:0.7068, D13-1202:0.7023
I05-1073 ==> W04-1119:0.8664, I05-3001:0.8322, W03-1509:0.8137, D09-1162:0.8092, I05-3034:0.8001, W06-0103:0.7888, W03-1717:0.7868, I05-3035:0.7812, I08-4033:0.7799, I08-4019:0.7791
J06-2001 ==> L08-1163:0.9061, L08-1097:0.8825, C08-1057:0.8781, I08-2107:0.8692, P12-1090:0.8373, W06-2910:0.8361, H05-1077:0.8053, P06-1044:0.7800, S14-1022:0.7743, W01-0705:0.7715
W06-1312 ==> W06-1613:0.9527, N06-1050:0.9334, W06-0804:0.9317, L08-1047:0.9035, P14-2059:0.8988, N07-1040:0.8981, D13-1012:0.8974, P06-1116:0.8885, D09-1155:0.8866, L08-1251:0.8761
P13-1072 ==> C14-1167:0.7568, D14-1011:0.7542, P11-2013:0.7391, E14-2009:0.7246, P13-1114:0.7123, N13-1050:0.7063, E12-2014:0.7058, I08-4033:0.7051, P14-2060:0.7047, D12-1039:0.6965
W06-1422 ==> W06-1421:0.9791, L08-1369:0.9499, E09-2009:0.8519, E06-1045:0.8040, W09-0603:0.8001, P08-2050:0.7942, W07-1909:0.7940, W09-0615:0.7922, E06-1040:0.7922, W09-0629:0.7912
W12-4108 ==> D11-1146:0.9027, W11-0316:0.9009, D08-1043:0.8253, C14-1010:0.7825, S12-1084:0.7480, D09-1027:0.7447, C10-1148:0.7399, P09-1082:0.7395, J10-3010:0.7365, S10-1034:0.7360
P10-1022 ==> D09-1126:0.8212, P10-5001:0.8046, S10-1060:0.7988, J13-3010:0.7981, W07-1517:0.7958, D11-1115:0.7940, C14-1057:0.7915, P12-1052:0.7899, W14-5205:0.7899, C10-1122:0.7842
W14-0811 ==> L08-1550:0.9666, P06-2057:0.9470, W12-1902:0.9160, I08-6003:0.7983, W09-1127:0.7918, C04-1134:0.7592, E09-1026:0.7490, W07-1513:0.7412, P11-2052:0.7381, H05-1108:0.7379
W06-0406 ==> W06-1502:0.9457, W04-1510:0.9415, C02-1116:0.9237, W04-0408:0.9179, P01-1029:0.9076, C02-1113:0.8956, P06-1138:0.8807, W06-1513:0.8798, C04-1026:0.8781, P07-1043:0.8591
N03-1013 ==> P01-1032:0.9613, P00-1059:0.9098, W06-1407:0.8318, W03-1002:0.7104, P04-1048:0.6677, W06-1208:0.6467, W05-1604:0.6150, W01-0815:0.6026, W05-0826:0.5948, W05-1007:0.5925
C14-1176 ==> J14-1007:0.8985, P09-2085:0.8946, P11-2036:0.8870, P10-2042:0.8860, E14-4033:0.8794, D10-1117:0.8781, P13-1030:0.8711, N10-1082:0.8651, P12-2022:0.8646, P11-2127:0.8562
C14-1025 ==> D14-1042:0.8507, Q13-1013:0.8471, E12-1059:0.8437, W11-0122:0.8281, P11-2063:0.7995, P13-1134:0.7945, P10-3011:0.7865, S14-1005:0.7853, L08-1052:0.7788, N13-1088:0.7755
D07-1067 ==> W06-1632:0.8788, W04-3210:0.7976, W03-1009:0.7805, P02-1026:0.7611, W04-2002:0.7242, W10-2006:0.7160, N09-1075:0.7009, W04-3241:0.6959, P10-1119:0.6743, P08-1097:0.6729
W13-2502 ==> W09-1702:0.8106, C10-2055:0.8044, P14-1121:0.7857, P11-2026:0.7794, P13-2038:0.7786, L08-1130:0.7757, W13-2503:0.7639, D14-1129:0.7621, P13-2133:0.7601, P09-2057:0.7575
C02-1025 ==> P02-1061:0.8040, W03-0423:0.7713, W03-0428:0.7298, W03-0420:0.7057, W02-2031:0.6943, W03-0432:0.6850, A00-1044:0.6783, W02-2022:0.6769, W02-2004:0.6759, W02-2003:0.6744
W14-0504 ==> D13-1004:0.8620, N12-1045:0.8367, P14-1101:0.8229, W10-2809:0.8164, W12-3903:0.7909, P13-1148:0.7905, P13-1150:0.7809, W11-0301:0.7758, P11-1090:0.7750, N13-1012:0.7743
N09-2018 ==> W04-2010:0.9881, W09-2409:0.9404, I05-2018:0.9382, C10-1137:0.9226, W07-1602:0.9022, P06-2077:0.8895, L08-1458:0.8804, C04-1195:0.8545, W14-5708:0.8490, P07-3014:0.8400
P06-2029 ==> P06-1041:0.9109, P09-3006:0.8692, P06-1037:0.8403, W08-1105:0.7854, J07-4002:0.7624, D08-1019:0.7608, P07-1041:0.7490, C02-1004:0.7472, W09-2007:0.7134, H05-1035:0.7111
P10-1033 ==> P11-2066:0.9241, C10-2084:0.9085, N12-1004:0.8842, N10-1014:0.8835, P10-1147:0.8697, P13-1077:0.8620, D10-1052:0.8594, P11-2029:0.8480, P11-1042:0.8454, P14-1139:0.8380
W14-4314 ==> W11-0144:0.9846, W12-1808:0.9822, P12-3018:0.9809, W14-4315:0.9801, W10-4308:0.9706, E09-1085:0.9704, W12-1814:0.9651, N09-1043:0.9650, N10-2009:0.9629, W12-1806:0.9596
D12-1037 ==> P12-1003:0.8299, P13-2003:0.8291, D13-1201:0.8264, E14-4034:0.8255, D13-1083:0.8145, N13-1115:0.8139, W11-2211:0.8087, N13-1035:0.8067, P12-1032:0.8060, P13-1078:0.8005
P10-1103 ==> E14-4041:0.9467, W10-4235:0.9367, W09-3916:0.9228, W08-0111:0.9105, P10-1008:0.9064, E12-3003:0.8951, W08-0119:0.8877, E09-1078:0.8792, E06-1009:0.8771, W09-0625:0.8737
W06-0206 ==> L08-1053:0.8801, P09-2089:0.8568, N07-2046:0.7612, P05-3015:0.7348, I08-2080:0.7328, P04-2010:0.7188, E06-1030:0.7144, I08-4004:0.7139, P05-1051:0.7115, W10-2418:0.7070
D10-1036 ==> S10-1040:0.9717, D09-1027:0.9586, S10-1034:0.9523, L08-1304:0.9364, W08-1404:0.9340, C08-1122:0.9292, S10-1030:0.9217, W13-2407:0.9126, P11-1039:0.9121, W14-1204:0.9001
W07-0203 ==> E14-3011:0.9503, S14-2037:0.9483, S10-1037:0.9468, P05-3013:0.9460, P04-3024:0.9232, W08-1404:0.9219, W06-3809:0.9178, W10-3306:0.9164, S10-1030:0.9130, W14-1204:0.9096
C08-1082 ==> W07-1108:0.8214, S13-2025:0.7825, E09-1071:0.7797, W12-3405:0.7784, I08-1074:0.7697, P08-1027:0.7485, S10-1007:0.7482, P07-3013:0.7456, W09-2415:0.7415, S13-2028:0.7402
W04-1113 ==> I05-1012:0.9493, I05-2006:0.9413, P03-2027:0.9387, H05-1126:0.9371, P03-1016:0.9102, P06-2069:0.8793, C02-1084:0.8600, I05-5007:0.8468, W04-2506:0.8408, I05-1066:0.8391
D09-1045 ==> W11-0114:0.9283, P04-1003:0.8918, W11-0130:0.8461, C02-1091:0.8250, D11-1129:0.8162, P08-1028:0.8096, W10-2805:0.8080, W11-2507:0.8065, P10-1093:0.8041, J10-4006:0.7648
W06-1511 ==> W06-1515:0.9980, W06-1510:0.9970, J05-2003:0.9933, P09-1112:0.9927, W06-1507:0.9927, J01-1004:0.7920, W04-1503:0.7856, J10-3006:0.7356, N04-2005:0.7328, W04-0206:0.7283
D11-1054 ==> D12-1136:0.8264, W10-2708:0.8003, N12-1074:0.7899, W13-4051:0.7735, P12-2012:0.7556, W13-4039:0.7550, D13-1096:0.7310, W14-2708:0.7264, W14-2706:0.6760, N09-1023:0.6710
D11-1058 ==> D08-1070:0.7938, W13-2260:0.7669, P09-1067:0.7441, D11-1085:0.7353, N09-2036:0.7284, N10-1139:0.7250, N10-1022:0.7241, P08-1025:0.7156, N10-1033:0.7088, D14-1131:0.7072
W06-1002 ==> W06-0109:0.9890, L08-1319:0.9885, W03-1726:0.9792, W04-1608:0.9705, W03-1705:0.9329, W02-1811:0.9209, I05-1009:0.8952, W04-0105:0.8773, W08-0703:0.8601, W02-0605:0.8446
S10-1059 ==> W09-2417:0.9126, S10-1008:0.9035, W14-3001:0.9023, S10-1065:0.8949, W14-2413:0.8407, W11-0908:0.8328, W14-0907:0.8300, W07-2017:0.8278, C08-1084:0.8262, S10-1066:0.8253
D14-1132 ==> W11-2119:0.8688, W10-1748:0.8604, N13-1003:0.8466, W11-2135:0.8163, P12-1031:0.8126, P13-1078:0.8078, P14-2023:0.8064, D13-1201:0.8017, D09-1147:0.8006, P13-1156:0.7953
N03-1006 ==> P04-1062:0.9011, D09-1142:0.7833, P10-2020:0.7457, P05-1044:0.7431, W02-2006:0.7191, W02-1030:0.6903, W05-1508:0.6840, P04-3032:0.6829, W05-0807:0.6590, H05-1050:0.6493
P05-3002 ==> C04-1110:0.8625, N06-2004:0.8431, W10-0902:0.7979, N06-2050:0.7628, D08-1019:0.7526, W04-1011:0.7508, P05-3019:0.7442, S13-2019:0.7352, P07-2013:0.7330, P04-1049:0.7148
P12-1016 ==> W13-2811:0.8155, W11-2127:0.8123, P08-2039:0.8022, E12-1068:0.7988, P10-1047:0.7942, P14-1010:0.7891, D11-1080:0.7838, W10-1735:0.7837, P14-2034:0.7794, P11-1024:0.7748
W13-2245 ==> W11-2105:0.8541, W12-3103:0.8386, W09-0404:0.8263, W12-3107:0.8144, W13-2254:0.8108, C14-1193:0.8027, P09-1034:0.7978, S12-1099:0.7957, W13-2231:0.7852, P12-1098:0.7809
