C02-1122 ==> H01-1043:0.9659, W02-1608:0.9090, C00-1063:0.9082, I05-1005:0.8634, W97-0123:0.8573, C04-1174:0.7958, C08-1097:0.7918, C04-1050:0.7869, P05-1076:0.7867, N06-1023:0.7815
P97-1044 ==> E93-1034:0.9739, C94-2201:0.9689, E89-1026:0.9684, P91-1011:0.9669, C96-1029:0.9668, E95-1019:0.9661, P89-1034:0.9654, E95-1045:0.9641, E93-1032:0.9588, E91-1035:0.9583
P11-2113 ==> Q13-1008:0.9118, C14-1187:0.9052, W11-0507:0.8987, P13-2102:0.8908, E14-1075:0.8878, P10-1084:0.8849, N13-1086:0.8842, P14-2055:0.8816, C14-1113:0.8699, W13-3105:0.8682
W12-3123 ==> P09-1037:0.9408, W02-0110:0.9333, W10-1733:0.9304, P07-2054:0.9275, W09-3805:0.9259, W12-3151:0.9251, D11-1127:0.9222, W09-3712:0.9215, L08-1112:0.9213, C73-2031:0.9178
W05-1516 ==> W06-2904:0.8603, I08-1012:0.8451, P07-1050:0.8397, N07-3002:0.8360, P09-1007:0.8275, C10-1007:0.8230, W12-3412:0.8227, P13-2019:0.8224, P07-1022:0.8214, D12-1095:0.8211
W06-0607 ==> W05-0308:0.8142, W07-2072:0.7887, C14-1127:0.7870, W04-2323:0.7859, D14-1211:0.7854, S13-2078:0.7847, P08-2004:0.7844, W06-3408:0.7801, W14-2623:0.7778, C14-1125:0.7771
W14-3337 ==> C14-2014:0.8461, C14-1184:0.8221, W09-3201:0.8079, W14-2711:0.7750, P14-2109:0.7633, W14-3420:0.7576, W14-4205:0.7503, W14-2616:0.7502, P14-2072:0.7465, W13-2307:0.7436
P11-1118 ==> W09-3031:0.9176, W02-1906:0.9163, P11-2022:0.9139, W07-0213:0.9062, W07-1605:0.9055, W10-4356:0.8994, W10-4228:0.8908, D11-1069:0.8889, P12-3015:0.8882, W09-3309:0.8859
P09-4006 ==> I08-2084:0.9545, W14-4805:0.9383, P05-2003:0.9041, W07-1511:0.8975, P06-4011:0.8919, P11-2084:0.8863, C02-1166:0.8843, E03-1023:0.8833, W03-1108:0.8824, I08-7001:0.8821
C88-1024 ==> C90-2009:0.9761, J87-1001:0.9591, C92-1017:0.8871, W91-0113:0.8754, P98-1072:0.8417, W98-0606:0.8406, C00-2166:0.8352, C96-2153:0.8277, T87-1041:0.8268, C90-1018:0.8259
J80-2003 ==> C80-1008:0.9138, J81-2002:0.9113, J79-1063:0.9063, T78-1029:0.8983, J81-4002:0.8750, J79-1040:0.8634, P79-1006:0.8490, J79-1005:0.8458, T75-2023:0.8340, T75-1005:0.8288
W08-1135 ==> C67-1025:0.9620, W10-0304:0.9558, E85-1005:0.9555, W13-2715:0.9553, C82-1068:0.9551, N04-4007:0.9534, T78-1021:0.9528, C67-1023:0.9526, C65-1021:0.9523, W11-2609:0.9518
P11-2074 ==> D13-1138:0.9445, W10-1713:0.9337, P13-2122:0.9329, W08-0510:0.9309, W13-2258:0.9307, W08-2119:0.9302, W13-2212:0.9301, E14-1001:0.9291, D14-1183:0.9287, W13-2207:0.9280
P05-1004 ==> W07-2032:0.8755, N06-1017:0.8647, J09-3004:0.8139, W02-0903:0.8135, S10-1090:0.7977, N12-1051:0.7953, W04-2103:0.7939, W14-1114:0.7932, W09-1122:0.7884, D09-1028:0.7781
P13-1159 ==> W14-2618:0.7974, D12-1057:0.7956, P13-1170:0.7716, S14-2089:0.7650, S14-2070:0.7603, S14-1006:0.7582, W12-0606:0.7556, E12-1031:0.7536, D13-1144:0.7533, P14-1092:0.7468
P04-1085 ==> E06-1022:0.8821, W11-2005:0.8629, N03-2012:0.8606, D09-1118:0.8474, W08-0125:0.8396, H01-1051:0.8394, W14-4321:0.8359, W99-0306:0.8028, L08-1475:0.8021, N07-1004:0.7973
E14-1060 ==> L08-1591:0.9306, W04-0109:0.9213, P10-1039:0.9209, W98-1308:0.9195, W02-0604:0.9139, J01-1003:0.9055, I08-3007:0.9048, W09-0714:0.8964, L08-1537:0.8949, C10-1115:0.8902
P07-1039 ==> W10-1759:0.9023, W10-1735:0.8991, W12-3133:0.8981, W10-1725:0.8932, W14-4009:0.8900, P11-1131:0.8888, W11-1218:0.8874, W06-3115:0.8874, C10-2124:0.8874, P08-3004:0.8867
W10-1702 ==> W12-3137:0.9493, W12-3150:0.9348, N10-2003:0.9332, D11-1020:0.9321, W10-1726:0.9302, W07-0710:0.9297, D14-1029:0.9296, P13-2065:0.9296, W13-2207:0.9285, W11-1015:0.9266
E87-1025 ==> W09-2818:0.9665, P10-2024:0.9647, C65-1021:0.9620, E87-1043:0.9608, P95-1043:0.9607, C96-2181:0.9595, J12-3001:0.9588, H89-1001:0.9587, P94-1042:0.9581, W09-3743:0.9576
D13-1115 ==> P14-1068:0.8332, D14-1005:0.8262, W14-4709:0.8063, W14-5403:0.7919, P12-1015:0.7902, P14-2135:0.7672, P14-1059:0.7672, W09-3204:0.7667, J10-4007:0.7649, W11-0611:0.7629
I05-1073 ==> C02-1012:0.8951, W06-0103:0.8771, W03-1509:0.8502, W04-1102:0.8439, W04-0705:0.8270, W04-1201:0.8011, I05-3006:0.7881, P06-1125:0.7705, X98-1012:0.7697, P03-1035:0.7666
J06-2001 ==> L08-1163:0.9333, C08-1057:0.9197, D07-1018:0.8906, P08-1050:0.8844, P07-3016:0.8811, P13-3009:0.8798, D11-1095:0.8783, E03-1040:0.8749, W02-1016:0.8680, D09-1138:0.8676
W06-1312 ==> D13-1012:0.9186, W06-0804:0.9011, E99-1015:0.8983, N06-1050:0.8936, P14-2059:0.8882, W06-1613:0.8869, W10-1818:0.8824, J12-2009:0.8761, W06-3406:0.8752, P10-2055:0.8737
P13-1072 ==> I08-1044:0.9110, W03-1718:0.8555, P12-1027:0.8396, I05-3013:0.8318, W10-4138:0.8316, W06-0134:0.8226, W10-4129:0.8204, W06-0127:0.8202, W10-4135:0.8188, W06-0140:0.8128
W06-1422 ==> W06-1421:0.9599, L08-1369:0.9214, E06-1040:0.8531, E09-2009:0.8526, W05-1604:0.8362, P00-1059:0.8302, W01-0801:0.8277, P08-2050:0.8238, W08-1113:0.8201, W10-4233:0.8174
W12-4108 ==> E14-3011:0.8666, P06-1068:0.8627, S10-1034:0.8515, P13-2061:0.8512, C10-1065:0.8509, C10-1023:0.8479, S12-1008:0.8444, W11-0316:0.8438, S14-2037:0.8425, W06-3111:0.8411
W07-1312 ==> W95-0110:0.8528, W09-3910:0.8418, W11-1211:0.8252, L08-1553:0.8137, W09-3610:0.8088, H05-1007:0.8066, W09-3611:0.8055, D09-1137:0.7994, L08-1299:0.7994, W97-0118:0.7982
P10-1022 ==> L08-1039:0.8210, W09-2601:0.8197, W06-0609:0.8117, P09-1084:0.8075, W07-1212:0.8073, W07-1517:0.8053, W11-0209:0.8032, W05-1002:0.8027, W02-1509:0.7977, P09-1033:0.7958
C96-2136 ==> W96-0205:0.8598, P98-1108:0.8514, P00-1049:0.8468, W03-1804:0.8466, W07-1107:0.8370, P04-1057:0.8327, W96-0113:0.8287, W04-1120:0.8251, P98-2138:0.8186, J01-1001:0.7849
J87-3004 ==> E91-1042:0.8793, T87-1006:0.8640, W91-0209:0.8625, W96-0308:0.8419, W00-0110:0.8416, T87-1005:0.8410, P88-1011:0.8366, C90-2008:0.8358, E89-1000:0.8323, P99-1063:0.8321
W14-0811 ==> P06-2057:0.9114, C04-1179:0.8995, L08-1550:0.8967, W12-1902:0.8861, C14-1121:0.8837, W11-0113:0.8728, W04-2008:0.8685, P06-2031:0.8649, W14-2907:0.8621, N03-2008:0.8576
W06-0406 ==> W13-2131:0.9011, W06-1516:0.8958, E09-2001:0.8950, E06-2005:0.8682, C08-1032:0.8658, P01-1029:0.8545, C04-1026:0.8529, E99-1029:0.8469, P06-1138:0.8434, E03-1030:0.8404
W97-0910 ==> P98-1072:0.8697, C00-2166:0.8684, E95-1005:0.8211, E99-1012:0.8136, E12-2013:0.8124, P98-1024:0.8117, C96-1066:0.8106, C00-2103:0.8038, C96-1032:0.8034, E95-1028:0.8010
N03-1013 ==> W06-1407:0.8024, W08-1112:0.7135, W09-0613:0.6983, W07-2036:0.6788, P96-1004:0.6773, L08-1566:0.6644, P02-1004:0.6613, W98-0605:0.6599, P04-3009:0.6528, W02-1022:0.6526
C88-2116 ==> H86-1021:0.9932, C02-1124:0.9500, W13-1012:0.9477, T87-1020:0.9322, P84-1029:0.9229, P95-1040:0.9187, W99-0206:0.9173, W99-0113:0.9133, P92-1035:0.9121, W97-1407:0.9087
C14-1176 ==> C10-2059:0.8906, P12-2062:0.8901, W11-2139:0.8862, W11-1011:0.8816, P13-1001:0.8742, P10-2034:0.8740, N12-1026:0.8733, W11-2167:0.8713, W10-2905:0.8711, P13-2063:0.8694
C14-1025 ==> E12-1059:0.8463, Q13-1013:0.8362, W11-0122:0.8207, E14-1008:0.8111, D14-1042:0.8062, P11-2002:0.7981, C14-1151:0.7880, N09-3005:0.7874, W11-1506:0.7845, P14-1044:0.7829
D07-1067 ==> W06-1632:0.8577, W04-3210:0.8397, D11-1068:0.8295, C10-2065:0.8248, W13-2309:0.8221, P14-1088:0.8066, N10-1143:0.7993, W14-4320:0.7902, W12-3205:0.7836, P09-1076:0.7799
W13-2502 ==> W13-2261:0.9243, E12-1046:0.9181, P06-2112:0.9178, L08-1111:0.9176, E03-1023:0.9112, P12-3016:0.9106, D13-1046:0.9096, W13-2505:0.9094, D14-1129:0.9055, C10-1073:0.9019
C02-1025 ==> W03-0423:0.8676, M98-1021:0.8673, E99-1001:0.8485, W03-0432:0.8147, W02-2022:0.8087, P05-1045:0.8056, P98-2140:0.7994, P06-1141:0.7821, W03-0434:0.7805, P02-1060:0.7727
P91-1027 ==> E91-1039:0.9330, H91-1067:0.8413, P98-1014:0.7391, J87-3009:0.7179, L08-1443:0.7103, E03-1041:0.6667, P90-1032:0.6480, P93-1005:0.6382, H89-2013:0.6269, H92-1026:0.6239
P94-1031 ==> W91-0108:0.9298, W91-0112:0.9232, P96-1033:0.9225, W97-1509:0.9206, W91-0110:0.9200, P00-1046:0.9145, C94-2148:0.9136, E95-1024:0.9132, W91-0113:0.9109, W91-0103:0.9102
W14-0504 ==> N12-1045:0.9138, D13-1004:0.9080, P14-1101:0.8804, C14-1219:0.8708, D11-1059:0.8504, D10-1056:0.8259, E14-1013:0.8234, P10-1132:0.8223, W12-0706:0.8188, W11-2205:0.8167
N09-2018 ==> I08-1052:0.8429, C94-1091:0.8192, C00-1014:0.8149, L08-1416:0.8054, P98-1023:0.8018, A94-1035:0.7815, P06-2106:0.7694, C94-1096:0.7686, C96-1023:0.7601, W14-5817:0.7558
A00-3006 ==> N03-4012:0.9242, W10-0909:0.9235, X96-1036:0.9075, E99-1034:0.9065, W97-0321:0.8986, D09-1148:0.8959, W04-1108:0.8929, E03-2007:0.8919, E06-2018:0.8872, E93-1051:0.8825
P06-2029 ==> C02-1004:0.8681, W99-0614:0.8587, P98-2234:0.8499, E03-1051:0.8494, P98-2201:0.8467, W06-2113:0.8454, P96-1046:0.8445, W01-0707:0.8353, W06-2112:0.8306, W04-2608:0.8290
J00-1005 ==> W98-1306:0.9689, P03-1025:0.9473, J07-4001:0.9324, P97-1058:0.9212, P04-3023:0.9205, W09-0802:0.9192, W12-6210:0.9144, E09-1036:0.9125, J00-1001:0.8979, P97-1042:0.8951
P10-1033 ==> N10-1014:0.9147, D11-1020:0.9121, D07-1006:0.9069, D13-1164:0.9062, P13-2065:0.9018, D08-1077:0.9018, I08-4001:0.8998, P11-1104:0.8995, W10-2913:0.8994, D10-1052:0.8979
H89-2049 ==> W90-0109:0.8874, E85-1038:0.8821, W90-0111:0.8790, T87-1044:0.8622, H86-1015:0.8604, H86-1004:0.8587, W93-0213:0.8572, P91-1050:0.8496, W90-0113:0.8492, E87-1032:0.8441
W14-4314 ==> W12-1808:0.8990, W14-4315:0.8875, W12-1814:0.8831, W11-0144:0.8819, W11-2014:0.8707, W97-0801:0.8680, W12-1615:0.8678, W10-4342:0.8668, W13-4026:0.8602, P05-3022:0.8600
D12-1037 ==> W13-0802:0.9363, W13-2212:0.9321, W11-2140:0.9314, W10-1713:0.9248, P11-2074:0.9237, W13-2238:0.9235, D13-1138:0.9208, W12-4212:0.9194, W12-3154:0.9173, W12-3147:0.9171
E85-1037 ==> P85-1012:0.9432, J82-2001:0.9098, P83-1012:0.8953, T87-1044:0.8855, E85-1027:0.8811, J82-2003:0.8695, H86-1019:0.8642, H86-1015:0.8605, P84-1002:0.8294, H86-1004:0.8206
P10-1103 ==> W10-4235:0.9244, E09-1078:0.9166, E14-4041:0.8976, P08-1055:0.8950, E06-1009:0.8934, W09-3916:0.8914, D12-1007:0.8910, W03-2107:0.8862, J11-3003:0.8830, P04-1012:0.8801
C86-1017 ==> W04-2215:0.9623, W02-1602:0.9506, C86-1093:0.9428, A83-1029:0.9418, E91-1047:0.9391, E85-1011:0.9381, C88-2167:0.9223, C86-1030:0.9201, C86-1150:0.9194, J82-2005:0.9149
P98-2177 ==> W97-0317:0.8754, W99-0614:0.8434, W97-0109:0.8111, P97-1024:0.8101, C02-1004:0.8098, P99-1081:0.7933, P14-3010:0.7920, W01-0707:0.7905, I05-1017:0.7884, P98-2234:0.7803
W06-0206 ==> L08-1053:0.8354, E06-1030:0.7983, P10-1029:0.7952, W09-1116:0.7857, S12-1028:0.7756, P08-1096:0.7727, W11-0319:0.7715, N07-1043:0.7689, N10-1026:0.7676, W03-1015:0.7659
D10-1036 ==> D09-1027:0.9399, P11-1039:0.9148, C08-1122:0.8855, C10-2042:0.8834, P13-2115:0.8663, W13-2407:0.8661, D14-1150:0.8615, S14-2037:0.8612, C10-1065:0.8596, P06-1068:0.8595
W07-0203 ==> S10-1037:0.9440, N04-4001:0.9370, C10-1098:0.9335, P09-2029:0.9311, I05-1025:0.9244, I08-2101:0.9121, I05-2004:0.9116, P05-3013:0.9092, W14-5411:0.9074, W09-1608:0.9062
C96-1057 ==> C92-1046:0.9905, C96-2113:0.9882, C88-1033:0.9287, E89-1006:0.9044, H01-1038:0.8934, W01-1314:0.8920, W13-3004:0.8905, C92-2073:0.8885, P04-1072:0.8830, N06-1018:0.8781
C08-1082 ==> E09-1071:0.8644, S13-2025:0.8112, W07-2045:0.8000, J09-2003:0.7825, I08-1074:0.7810, W11-0129:0.7804, H05-1112:0.7736, A97-1055:0.7673, S12-1025:0.7651, W04-0815:0.7649
W04-1113 ==> E99-1013:0.8473, W06-3811:0.8370, W03-0612:0.8341, W08-1901:0.8318, I08-2102:0.8302, C08-1117:0.8197, C10-1141:0.8158, P14-2049:0.8155, L08-1168:0.8101, W07-0907:0.8097
L08-1286 ==> W09-2304:0.9468, C02-1050:0.9376, L08-1403:0.9319, W05-0804:0.9269, W03-0307:0.9237, D08-1051:0.9228, W11-2212:0.9206, I08-1068:0.9186, C10-2084:0.9173, W10-3805:0.9150
P98-1036 ==> M98-1017:0.8902, W02-2017:0.8722, W00-1210:0.8390, C00-1024:0.8333, D09-1091:0.8220, C04-1119:0.8195, I08-1037:0.8176, W97-0315:0.8133, W99-0605:0.7972, W03-0317:0.7931
P91-1054 ==> P92-1015:0.9532, C94-2160:0.9224, C96-1014:0.9206, P91-1037:0.9177, C94-2137:0.9021, C88-2143:0.8917, E87-1035:0.8780, P00-1028:0.8690, E93-1032:0.8669, E91-1014:0.8652
P91-1022 ==> P91-1023:0.9472, C90-3031:0.9285, H91-1026:0.8414, E93-1054:0.7642, P93-1001:0.7637, P13-1061:0.7540, J93-2003:0.7364, W98-1103:0.7310, X96-1035:0.7281, J93-1004:0.7193
D09-1045 ==> P10-1021:0.8819, S13-1001:0.8677, W14-5418:0.8386, N01-1021:0.8310, P13-2152:0.8301, P13-2010:0.8256, D10-1115:0.8238, P03-1066:0.8222, W10-2010:0.8100, D12-1033:0.8036
W97-0114 ==> E99-1045:0.8120, W97-1304:0.7963, W04-1121:0.7663, W05-0816:0.7579, W99-0208:0.7522, P00-1055:0.7504, P03-2040:0.7493, W01-0907:0.7480, C02-1009:0.7463, P98-1042:0.7422
W06-1511 ==> W06-1515:0.9911, W06-1510:0.9896, W06-1507:0.9783, W06-1505:0.9725, C94-2162:0.9666, J05-2003:0.9658, W06-1521:0.9609, P90-1015:0.9600, P00-1057:0.9545, H89-1036:0.9544
D11-1054 ==> W13-2515:0.7719, D12-1136:0.7515, W14-3302:0.7183, D13-1096:0.7154, N09-1047:0.7148, P14-2053:0.7074, W08-1510:0.7042, W10-1705:0.7039, P08-1095:0.7024, D13-1163:0.6975
D11-1058 ==> P14-2095:0.8397, W12-1904:0.8286, W05-0638:0.8282, D08-1070:0.8209, P11-2119:0.8182, N09-2022:0.8169, N09-1018:0.8079, C14-1194:0.8049, E09-1037:0.8022, P14-1102:0.8016
L08-1470 ==> H93-1075:0.9735, P98-2190:0.8968, W07-0311:0.8431, W97-0107:0.8345, P97-1022:0.8322, H90-1029:0.8258, E14-3009:0.8240, W98-1113:0.8151, W98-1307:0.8151, W07-0307:0.8140
W06-1002 ==> W06-0109:0.9640, L08-1319:0.9119, J11-3001:0.8948, W12-2304:0.8902, I05-1009:0.8866, C94-2209:0.8769, W03-1726:0.8764, W97-0316:0.8753, W02-1206:0.8740, W14-0505:0.8611
W98-0501 ==> W04-1504:0.9333, W07-2209:0.9266, W12-6218:0.9045, W04-1508:0.8722, P97-1043:0.8685, P01-1021:0.8672, C96-2122:0.8608, W98-0502:0.8557, W04-1512:0.8501, J03-4001:0.8492
C92-1056 ==> P91-1019:0.8032, H92-1046:0.7562, E93-1051:0.7077, C92-2070:0.6831, H93-1051:0.6803, P94-1020:0.6774, H94-1047:0.6696, P98-2228:0.6566, H92-1045:0.6557, W97-0212:0.6535
S10-1059 ==> S10-1008:0.9246, W09-2417:0.9244, W11-0908:0.9182, W07-2018:0.9121, C08-1084:0.9015, W14-3001:0.8947, S10-1065:0.8910, W03-0901:0.8831, W14-3008:0.8789, W08-2140:0.8757
D14-1132 ==> P11-1126:0.9104, W12-3137:0.9078, W10-1745:0.9066, P13-1125:0.9059, W09-2309:0.8967, P11-1085:0.8934, W07-0710:0.8933, W13-2258:0.8917, D10-1053:0.8915, P12-1079:0.8910
W98-0504 ==> P98-1026:0.9616, W04-1508:0.9020, C02-1106:0.8848, C96-2122:0.8833, P01-1029:0.8815, W06-0403:0.8715, P01-1021:0.8703, W04-1502:0.8702, P95-1056:0.8575, W98-0502:0.8564
N03-1006 ==> D09-1142:0.8578, W05-0807:0.7922, W02-2006:0.7714, P04-1062:0.7269, C14-1111:0.7075, P01-1063:0.6999, N07-1020:0.6908, W08-2001:0.6858, W02-1030:0.6847, W04-0106:0.6825
H89-1008 ==> A83-1003:0.7352, H89-2006:0.7288, P86-1005:0.7094, P86-1033:0.7083, P86-1036:0.7032, C86-1108:0.6979, H89-1013:0.6977, P84-1013:0.6908, H89-2020:0.6847, J84-2001:0.6782
J90-1001 ==> P89-1019:0.9739, C90-3034:0.9297, E95-1002:0.8780, P99-1039:0.8640, P93-1011:0.8639, P92-1005:0.8638, E95-1001:0.8581, E91-1009:0.8566, E03-1024:0.8544, P03-1047:0.8524
P05-3002 ==> P07-2013:0.8484, N06-2004:0.8095, L08-1275:0.8022, P05-3019:0.7957, S14-1020:0.7953, S10-1087:0.7864, E09-1086:0.7853, S13-1038:0.7788, N10-1047:0.7756, W11-2501:0.7715
W98-0902 ==> P98-1018:0.9857, J09-1004:0.9856, W10-2202:0.9832, W09-0803:0.9829, W12-6202:0.9761, J98-2006:0.9754, E09-1036:0.9732, J06-1004:0.9705, W98-0903:0.9702, W98-0904:0.9668
P12-1016 ==> W10-3222:0.9298, W13-2258:0.9285, W09-0414:0.9252, P12-1079:0.9241, N13-1048:0.9221, W14-4001:0.9220, E14-1026:0.9220, D14-1183:0.9213, D13-1138:0.9199, W12-3149:0.9186
W13-2245 ==> D12-1090:0.9045, C08-1141:0.9019, W11-2113:0.9017, E06-1031:0.8971, W08-0312:0.8965, N10-1031:0.8869, I08-1042:0.8824, W09-0403:0.8785, L08-1143:0.8760, P11-2027:0.8739
P12-1004 ==> N09-1052:0.9507, P06-2030:0.9484, W98-1217:0.8742, C02-1108:0.8651, W14-4605:0.8648, P13-2042:0.8374, W10-4107:0.8369, C14-1014:0.8367, W12-2703:0.8305, N04-4031:0.8240
