C02-1122 ==> H01-1043:0.9572, C04-1174:0.9396, W02-1608:0.8742, I08-2110:0.8342, N06-1023:0.7811, P06-2076:0.7622, P09-2052:0.7531, I05-1005:0.7437, P06-2097:0.7207, C02-1051:0.7091
L08-1554 ==> W07-2102:0.9700, W04-0819:0.9144, W14-2909:0.7893, P10-1143:0.7824, P13-2139:0.7757, W13-5001:0.7558, W07-2026:0.7466, W05-1001:0.7364, W09-3208:0.7363, W07-2017:0.7182
E03-1030 ==> E06-2005:0.9252, L08-1023:0.9232, P06-2032:0.9203, C08-1032:0.9193, W13-2131:0.9034, W06-1516:0.8997, W05-1605:0.8849, C04-1044:0.8666, C08-3003:0.8418, E09-2001:0.8369
W00-0737 ==> W00-1309:0.9918, P02-1060:0.9808, N03-2014:0.7894, W03-1731:0.7798, W06-0125:0.7724, W03-1121:0.7649, C04-1004:0.7402, W03-0105:0.7334, W03-0423:0.7155, W03-1711:0.7085
S14-2132 ==> S14-2005:0.9156, S13-2033:0.9040, S10-1053:0.9001, P14-1082:0.8692, W12-4201:0.8662, W12-1906:0.8527, P11-2055:0.8473, S13-2029:0.8458, S13-2032:0.8401, S10-1002:0.8297
P06-2079 ==> D09-1064:0.8517, C10-2153:0.8420, P09-1029:0.8410, N03-1025:0.8155, P09-1078:0.7927, P09-1028:0.7845, W10-3505:0.7762, S14-2071:0.7676, P09-2079:0.7612, N10-1042:0.7560
N12-1089 ==> P09-1096:0.9716, D10-1009:0.9637, W11-2021:0.9545, W14-0404:0.9319, C10-2022:0.9088, C08-1056:0.8984, P06-2005:0.8891, P10-1079:0.8763, W11-0704:0.8425, P13-1114:0.8419
W09-0412 ==> W10-1706:0.8721, W08-0320:0.8241, W08-0321:0.8137, L08-1113:0.8067, W11-2151:0.8050, E14-4018:0.7992, W07-0720:0.7969, W09-0402:0.7959, W07-0718:0.7897, W12-3136:0.7861
W09-3920 ==> P10-1018:0.8695, P13-2062:0.7710, L08-1614:0.7674, L08-1615:0.7648, E06-3002:0.7580, W10-0718:0.7557, N12-2012:0.7553, L08-1534:0.7215, N10-1096:0.7145, H05-1067:0.7130
N04-1039 ==> P02-1002:0.8740, P06-1124:0.8587, C14-1014:0.7360, W04-3237:0.7300, H01-1052:0.7250, N09-1051:0.7183, W03-1020:0.6566, C00-1004:0.6480, W05-0605:0.6272, C02-2019:0.6225
W10-4226 ==> L08-1399:0.9683, S10-1018:0.9560, W11-1921:0.9457, C04-1075:0.8765, I05-1063:0.8608, W08-1127:0.8533, W06-3605:0.8519, L08-1049:0.8430, W07-0803:0.8353, H05-1004:0.8295
H01-1013 ==> L08-1362:0.8337, C00-2161:0.8118, W09-2819:0.8102, W02-0106:0.8088, C02-1123:0.8077, W04-2313:0.8031, W10-4322:0.8021, W02-0101:0.7992, C00-2086:0.7989, W13-4041:0.7940
W09-3839 ==> D07-1120:0.8070, W09-3803:0.7991, W09-3838:0.7828, W09-3811:0.7715, W02-0110:0.7619, W09-3831:0.7537, W06-1509:0.7489, W09-3824:0.7475, E03-1085:0.7393, P10-5002:0.7335
W12-1812 ==> W13-4073:0.9635, W13-4067:0.9534, W11-2016:0.9511, W14-0202:0.9306, P08-2019:0.9277, W11-2002:0.9236, P03-1031:0.9000, W10-4306:0.8842, W13-4065:0.8744, W12-1626:0.8700
W03-0404 ==> W03-1017:0.8105, W02-1011:0.7650, W08-1207:0.7352, W03-1014:0.7314, W12-0607:0.7270, C08-2019:0.7220, P04-1034:0.7217, N01-1031:0.7199, P05-1017:0.7082, W09-2011:0.7066
C14-1129 ==> P08-1035:0.6722, W13-1101:0.6699, D13-1047:0.6589, P12-2003:0.6561, P12-2068:0.6441, D14-1076:0.6426, P09-1093:0.6397, W09-2805:0.6391, D12-1122:0.6303, D14-1195:0.6288
C14-1206 ==> N13-1112:0.7979, W13-4004:0.7885, P12-2042:0.7867, S13-2012:0.7867, P14-3002:0.7804, E14-1033:0.7797, S13-2010:0.7696, C14-1198:0.7690, W14-0702:0.7606, S13-2013:0.7589
W12-0905 ==> W12-0906:0.9815, W12-0910:0.9705, L08-1306:0.9687, W08-1305:0.9541, W10-2107:0.9487, W07-2203:0.9431, W12-0911:0.9298, W08-1307:0.9298, L08-1109:0.9000, P07-2010:0.8981
D13-1105 ==> E14-2006:0.8486, W08-2117:0.8182, W08-0703:0.8035, C14-1111:0.8020, W04-0105:0.8001, W14-2804:0.7870, P14-1127:0.7867, E14-1060:0.7852, E12-1067:0.7835, W10-2210:0.7812
C02-1124 ==> W05-1106:0.8012, W10-0912:0.7985, W10-4318:0.7965, W13-1206:0.7862, W08-1501:0.7799, W09-3032:0.7780, W99-0707:0.7684, P99-1016:0.7681, W02-0106:0.7677, E99-1023:0.7668
P10-2034 ==> P09-1009:0.8352, W10-2905:0.8349, C14-1176:0.8260, W13-3519:0.8179, P14-1027:0.8072, P12-2004:0.8017, D10-1120:0.7899, P13-1148:0.7863, P13-1077:0.7855, D11-1118:0.7807
W14-3303 ==> W14-3302:0.9300, S14-2085:0.8612, W14-3339:0.8435, W14-3340:0.8390, W14-3336:0.7683, W08-0324:0.7570, W11-2131:0.7554, W14-3341:0.7527, P13-1139:0.7493, W12-3101:0.7459
C14-1210 ==> W12-3128:0.8945, P10-2002:0.8640, D11-1079:0.8573, P09-1036:0.8570, P11-1085:0.8519, N13-1060:0.8497, C10-2044:0.8494, C10-2086:0.8379, N10-1016:0.8350, C14-1195:0.8292
W03-0201 ==> W14-6205:0.8566, W06-1624:0.8352, I05-1036:0.8110, P03-1042:0.7901, P06-1027:0.7695, J04-3004:0.7576, W03-1504:0.7513, W06-2207:0.7509, P02-1046:0.7454, P04-3006:0.7447
D07-1107 ==> W00-0103:0.8525, W00-0104:0.8443, N01-1010:0.8424, W09-2402:0.8391, W13-5003:0.7878, W06-2503:0.7661, P06-1014:0.7634, W07-2006:0.7418, D09-1020:0.7401, N10-1053:0.7398
P09-2075 ==> D14-1077:0.9010, W09-1608:0.9008, I08-1018:0.8976, W04-3247:0.8912, P09-2029:0.8793, N04-3007:0.8755, C10-2045:0.8663, N06-2046:0.8596, P09-2030:0.8549, P13-2099:0.8499
W11-1720 ==> C10-1021:0.9095, W10-1801:0.9081, W10-0206:0.8539, W10-4102:0.8471, P09-1095:0.8460, D09-1150:0.8274, W07-2072:0.7649, W10-3207:0.7603, W10-0210:0.7558, E14-3005:0.7515
D10-1105 ==> W14-4507:0.9967, P07-2033:0.9960, D11-1093:0.9938, W04-2118:0.9254, I05-1050:0.9143, N09-5005:0.9107, J09-2001:0.9042, C04-1124:0.8932, L08-1076:0.8718, W11-2502:0.8694
D13-1138 ==> W12-3125:0.8914, C14-1108:0.8609, P13-1156:0.8448, N13-1003:0.8394, W12-3159:0.8378, P12-2007:0.8332, W14-3314:0.8332, W13-2258:0.8312, C10-2044:0.8299, E14-4034:0.8250
C14-2016 ==> C14-2012:0.9758, W07-0212:0.9545, D08-1096:0.9131, W09-1707:0.9131, P04-3026:0.9101, L08-1229:0.9098, P07-2014:0.9044, W10-4172:0.8960, C04-1052:0.8933, W04-2602:0.8921
D12-1139 ==> P13-2150:0.7038, W13-1715:0.6962, D13-1190:0.6753, D13-1181:0.6722, W13-1724:0.6690, W13-1720:0.6668, D11-1148:0.6667, D12-1064:0.6648, E14-4019:0.6490, W11-0310:0.6478
W12-3118 ==> W12-3120:0.8977, P10-1063:0.8948, W13-2255:0.8911, W12-3121:0.8901, P11-1022:0.8771, P13-4014:0.8760, W12-3119:0.8746, W12-3114:0.8492, W14-0301:0.8465, W13-2247:0.8442
P03-2020 ==> I05-2020:0.9595, W04-1814:0.9137, C02-2020:0.8916, E03-1023:0.8813, C04-1149:0.8783, P07-1084:0.8754, I05-1087:0.8742, W04-2012:0.8707, I08-1013:0.8680, P07-2008:0.8679
P00-1054 ==> P99-1008:0.7874, P99-1016:0.7862, W05-0108:0.7782, A00-3005:0.7764, W02-0710:0.7752, W00-1001:0.7751, W10-4231:0.7726, W02-0106:0.7708, W09-2819:0.7707, C00-1055:0.7692
W10-4228 ==> W10-4305:0.9291, W11-1919:0.8893, J01-4002:0.8890, W09-3939:0.8888, W11-1915:0.8826, J08-3002:0.8563, L08-1363:0.8428, W06-3915:0.8308, W05-0406:0.8265, W11-1903:0.8262
P13-1123 ==> W13-4026:0.9370, W12-1509:0.9208, W13-4029:0.8178, W12-1641:0.7999, W13-4042:0.7994, N12-1081:0.7970, W10-4301:0.7954, W13-4048:0.7928, D12-1008:0.7732, P10-1157:0.7639
W12-3213 ==> L08-1291:0.9663, L08-1005:0.9546, W10-1114:0.9511, W10-0402:0.9404, W12-3204:0.9219, W12-3209:0.8879, W12-3202:0.8491, E14-1053:0.8411, P14-2059:0.8382, D07-1089:0.8288
E03-1002 ==> W03-1021:0.9388, H05-1026:0.8536, N06-2001:0.8415, W04-3242:0.8312, W12-2703:0.8261, W04-0305:0.8237, W03-0321:0.8175, W06-3315:0.8173, W04-0303:0.7692, N09-1052:0.7691
P06-1054 ==> P07-1099:0.8654, W03-1706:0.8489, W10-4150:0.7372, P14-1069:0.7309, P09-1006:0.7216, P13-1043:0.7214, W06-0121:0.7076, W03-1025:0.6933, P14-6008:0.6896, P13-1013:0.6880
E09-1020 ==> P06-3003:0.8571, P13-1003:0.7226, P14-1139:0.7206, L08-1185:0.7065, D13-1164:0.7056, P11-1042:0.7051, W05-0813:0.7032, D12-1105:0.6813, W06-3107:0.6796, W09-2308:0.6794
N12-2010 ==> P10-1056:0.8276, W14-3706:0.8273, W14-3701:0.7942, W12-2601:0.7744, N10-3002:0.7696, J09-1003:0.7625, W13-2904:0.7616, E09-2013:0.7607, P13-1010:0.7573, C10-2032:0.7562
S12-1020 ==> W09-2510:0.9729, W08-1602:0.9131, W03-0906:0.9050, W06-3907:0.8929, E09-1001:0.8754, P06-4014:0.8586, P06-1019:0.8550, W09-2602:0.8517, P08-1111:0.8499, J07-4001:0.8485
E09-1097 ==> C10-1012:0.8187, C10-1037:0.7500, D12-1085:0.7338, W12-1525:0.7171, W13-2101:0.7123, P07-1041:0.7046, W12-1506:0.6958, W14-4416:0.6920, D09-1041:0.6748, D08-1019:0.6744
C00-1053 ==> P02-1048:0.9923, C00-1054:0.9910, N04-4012:0.9378, W07-0303:0.9316, P03-2005:0.9304, W12-3505:0.9130, P07-1048:0.8918, N06-2040:0.8906, N04-4011:0.8803, C10-2178:0.8764
W04-2214 ==> L08-1404:0.9291, C04-1163:0.8985, W02-1304:0.8818, W02-0801:0.8452, W00-0706:0.8181, W06-1700:0.7950, W02-1112:0.7943, P06-1092:0.7888, L08-1380:0.7881, W06-1707:0.7880
