paper id	author id	affiliation id
P09-2079	3814	8

N07-2003	4034	8

W05-0813	4099	8

N07-1066	4230	8

P07-1099	4230	8

C04-1196	4246	8

N06-1030	4282	8

N07-2003	4371	8

P08-2022	4421	8

N07-2003	4429	8

N09-5002	4429	8

P07-1095	4493	8

N06-4009	4513	8

N07-1046	4528	8

N09-2038	4528	8

P07-1066	4528	8

H01-1007	4544	8

H01-1018	4544	8

W02-0703	4544	8

W03-2118	4544	8

W02-0714	4563	8

H01-1007	4584	8

H01-1018	4584	8

H05-1093	4584	8

L08-1581	4584	8

N03-4015	4584	8

N06-2033	4584	8

P05-1025	4584	8

P05-3026	4584	8

P06-2089	4584	8

W00-0203	4584	8

W02-0703	4584	8

W03-2118	4584	8

W04-0107	4584	8

W05-0909	4584	8

W05-1513	4584	8

W07-0604	4584	8

W07-0734	4584	8

W07-0909	4584	8

W07-1315	4584	8

W08-0312	4584	8

W08-0324	4584	8

W08-0411	4584	8

W08-0708	4584	8

W09-0408	4584	8

W09-0425	4584	8

W09-2301	4584	8

H01-1018	4722	8

L08-1059	4722	8

L08-1581	4722	8

N03-4015	4722	8

N06-1018	4722	8

N06-2002	4722	8

W00-0203	4722	8

W02-0703	4722	8

W02-0708	4722	8

W03-2118	4722	8

W04-0107	4722	8

W04-2709	4722	8

W07-1315	4722	8

W08-0211	4722	8

W08-0410	4722	8

W08-0708	4722	8

W09-3012	4722	8

W06-1905	4834	8

L08-1085	4848	8

N06-3005	4848	8

P06-1133	4848	8

W02-2017	4848	8

W06-2915	4848	8

H05-1093	4873	8

P03-1020	4873	8

P04-3018	4873	8

W01-0503	4873	8

W04-3251	4873	8

C04-1142	5032	8

P05-1025	5045	8

W05-0507	5045	8

W07-0603	5045	8

W07-0604	5045	8

W02-0708	5128	8

N01-1031	5322	8

D08-1095	5526	8

H05-1056	5526	8

N06-2024	5526	8

P07-1017	5526	8

W06-3801	5526	8

A00-2012	5542	8

D07-1003	5542	8

N04-4016	5542	8

P06-1054	5542	8

P07-1099	5542	8

W02-0106	5542	8

W04-2709	5542	8

W06-1905	5542	8

W09-3012	5542	8

L08-1581	5608	8

P04-2012	5608	8

W04-0107	5608	8

W07-1315	5608	8

W08-0708	5608	8

P08-1029	5815	8

N07-2033	5975	8

P08-2020	5975	8

D08-1099	6026	8

H01-1039	6026	8

N03-4010	6026	8

N04-4016	6026	8

N07-1066	6026	8

N09-3010	6026	8

P04-3018	6026	8

P07-1099	6026	8

W02-0106	6026	8

W03-0908	6026	8

W09-1903	6026	8

W00-0306	6075	8

W05-0208	6212	8

H01-1003	6242	8

L08-1581	6413	8

W08-0324	6413	8

H01-1018	6415	8

N04-3010	6415	8

W02-0703	6415	8

W03-2118	6415	8

W02-0708	6448	8

P00-1013	6476	8

C04-1196	6547	8

P02-1052	6611	8

W03-0414	6611	8

N04-1028	6740	8

N07-2003	6740	8

P08-5002	6740	8

W07-0305	6740	8

W08-0101	6740	8

H05-1093	6917	8

N01-1003	6917	8

P01-1056	6917	8

P03-1050	6917	8

P04-3005	6917	8

N04-4019	6963	8

W04-2315	6963	8

P08-2020	6986	8

P00-1013	7006	8

D08-1100	7017	8

H05-1029	7017	8

I08-1035	7017	8

N06-4003	7017	8

N07-2019	7017	8

P08-4005	7017	8

P09-2023	7017	8

W00-0306	7017	8

W00-0309	7017	8

W02-0711	7017	8

W06-3404	7017	8

W07-0305	7017	8

W08-0805	7017	8

W09-2813	7017	8

W09-3910	7017	8

N06-2033	7076	8

P05-1025	7076	8

P06-1054	7076	8

P06-2089	7076	8

W05-1513	7076	8

N04-4016	7079	8

H01-1048	7276	8

H01-1018	7305	8

H01-1048	7305	8

L08-1102	7305	8

N03-2038	7305	8

N03-4015	7305	8

N04-3010	7305	8

N06-2005	7305	8

N07-2023	7305	8

N07-2033	7305	8

N09-2038	7305	8

P07-1066	7305	8

W02-0714	7305	8

W06-0138	7459	8

W06-1905	7473	8

D07-1003	7626	8

D07-1014	7626	8

D07-1022	7626	8

D08-1017	7626	8

D09-1023	7626	8

E09-1037	7626	8

J08-3007	7626	8

N09-1009	7626	8

N09-1027	7626	8

N09-1031	7626	8

N09-1054	7626	8

P07-1095	7626	8

P09-1039	7626	8

P09-1053	7626	8

P09-2001	7626	8

P09-2026	7626	8

W08-0212	7626	8

W08-0302	7626	8

W09-1801	7626	8

N04-3010	7876	8

P07-1066	8015	8

C04-1142	8106	8

P00-1013	8186	8

N06-2024	8230	8

N04-4019	8234	8

N07-2003	8234	8

W04-2315	8234	8

H01-1018	8274	8

N06-4009	8274	8

N07-3004	8274	8

W02-0714	8274	8

W07-2023	8274	8

P07-1095	8418	8

N06-2051	8536	8

N09-1027	8536	8

P03-1041	8536	8

W05-0836	8536	8

W06-3119	8536	8

C04-1059	8602	8

C04-1114	8602	8

E03-1050	8602	8

H05-1061	8602	8

I05-2048	8602	8

L08-1487	8602	8

N04-1036	8602	8

N06-2051	8602	8

N07-1046	8602	8

N07-2006	8602	8

N09-1027	8602	8

N09-2001	8602	8

N09-2038	8602	8

P03-1041	8602	8

P08-2020	8602	8

W03-0303	8602	8

W03-0315	8602	8

W03-1502	8602	8

W04-3227	8602	8

W05-0825	8602	8

W05-0829	8602	8

W06-1626	8602	8

W07-0410	8602	8

W07-0727	8602	8

W08-0303	8602	8

W08-0321	8602	8

W08-0509	8602	8

W09-0406	8602	8

A00-2025	8631	8

C00-2140	8631	8

C04-1114	8631	8

H01-1007	8631	8

H01-1048	8631	8

H01-1071	8631	8

I05-3011	8631	8

L08-1487	8631	8

N04-1036	8631	8

N04-3010	8631	8

N07-2006	8631	8

N09-2038	8631	8

P03-1041	8631	8

W02-0714	8631	8

W03-0315	8631	8

W03-1502	8631	8

W05-0804	8631	8

W05-0836	8631	8

H01-1018	8645	8

N03-4015	8645	8

W00-0203	8645	8

W02-0703	8645	8

W03-2118	8645	8

D07-1003	8679	8

P06-1054	8679	8

W06-0138	8679	8

W06-1905	8679	8

D08-1099	8685	8

D09-1156	8685	8

H05-1056	8685	8

N06-2024	8685	8

P09-1050	8685	8

P07-2019	8704	8

W00-0203	8735	8

D08-1017	8999	8

P06-2124	8999	8

P09-1039	8999	8

W05-0804	8999	8

W00-0309	9013	8

P09-1031	9087	8

H01-1071	9090	8

C04-1142	9101	8

P03-1050	9101	8

P04-3005	9101	8

H01-1003	9200	8

N03-2038	9200	8

W05-0208	9236	8

A00-2025	9256	8

C00-2140	9256	8

H01-1002	9311	8

H01-1071	9311	8

H05-1061	9311	8

W05-0829	9311	8

W06-1626	9311	8

C04-1059	9321	8

H05-1023	9321	8

I05-3011	9321	8

N07-1046	9321	8

P06-2124	9321	8

W03-0303	9321	8

W03-0315	9321	8

W04-3227	9321	8

W05-0804	9321	8

W05-0825	9321	8

N06-2051	9394	8

N09-1027	9394	8

W05-0836	9394	8

W06-3119	9394	8

I08-2115	9434	8

W09-2813	9434	8

I08-1068	9456	8

L08-1581	9456	8

W08-0324	9456	8

W08-0411	9456	8

W09-0425	9456	8

W09-1908	9456	8

P08-1029	9472	8

I08-2115	9473	8

N09-2010	9473	8

N09-3010	9473	8

W09-1903	9473	8

I08-2115	9490	8

N09-2037	9658	8

P08-4007	9658	8

P09-2026	9658	8

P08-2004	9666	8

W09-3708	9666	8

L08-1059	9692	8

W08-0410	9692	8

W09-0425	9692	8

D08-1017	9738	8

I08-1035	9738	8

P09-1053	9738	8

W09-2813	9738	8

W08-0321	9898	8

W08-0509	9898	8

P08-2020	9899	8

D09-1023	9925	8

E09-1037	9925	8

W08-0302	9925	8

W00-0405	9952	8

W08-0324	10010	8

W09-0408	10010	8

W09-0425	10010	8

W09-2301	10010	8

W08-0324	10083	8

P08-4007	10182	8

I08-1035	10271	8

W09-2813	10271	8

P08-5002	10290	8

L08-1102	10570	8

W08-0324	10689	8

W08-0411	10689	8

W09-0425	10689	8

W08-0910	10726	8

W09-2106	10726	8

D08-1099	10915	8

L08-1167	11275	8

N09-1054	11275	8

W08-0910	11318	8

W09-2201	11419	8

W09-2201	11466	8

P09-1072	11481	8

P09-1072	11496	8

N09-2037	11696	8

P09-2026	11696	8

W09-0408	11727	8

N09-2038	11749	8

P09-1072	11799	8

N09-1031	11903	8

P09-1072	12013	8

W04-3240	12013	8

W09-2201	12013	8

N09-1031	12185	8

H05-1074	12548	8

N04-1025	12548	8

N07-1058	12548	8

N07-1060	12548	8

P08-2022	12548	8

P09-1031	12548	8

W02-0708	12554	8

H01-1039	13209	8

N06-2003	15208	8

N06-4001	15208	8

N09-2010	15208	8

N09-2037	15208	8

N09-5002	15208	8

P07-2019	15208	8

P08-4007	15208	8

P09-2026	15208	8

P09-2079	15208	8

W04-2803	15208	8

W05-0208	15208	8

W05-1524	15208	8

W06-3407	15208	8

W06-3502	15208	8

W09-1903	15208	8

W03-0908	15398	8

W06-0404	113	9

W06-1307	113	9

W06-1310	113	9

W06-3409	113	9

W09-0806	318	9

J05-3003	930	9

P04-1041	930	9

P04-1047	930	9

D07-1028	963	9

D07-1028	964	9

J05-3003	964	9

J08-1003	964	9

P04-1041	964	9

P04-1047	964	9

P06-1063	964	9

P06-1130	964	9

W07-1209	964	9

W09-3002	1665	9

W09-3523	1665	9

I08-6005	2232	9

W07-0911	2232	9

D07-1012	2412	9

L08-1115	2412	9

P08-2056	2412	9

W07-2204	2412	9

W09-2112	2412	9

W09-3827	2412	9

J03-3004	2846	9

C04-1154	2927	9

W05-0833	2927	9

W06-3112	2927	9

C08-1038	2973	9

D07-1027	2973	9

P07-1037	3157	9

C04-1154	3203	9

D07-1028	3368	9

I08-6005	3796	9

N06-2016	3796	9

W07-0911	3796	9

P06-1063	3825	9

W04-1711	4031	9

W04-1711	4273	9

W09-3809	4591	9

E09-1063	5037	9

P07-1039	5037	9

W08-0326	5037	9

W08-0409	5037	9

W09-3523	5828	9

I08-6005	5890	9

W07-0911	5890	9

J05-3003	6033	9

J08-1003	6033	9

P04-1041	6033	9

P04-1047	6033	9

W06-3112	6186	9

W07-0411	6186	9

W07-0714	6186	9

L08-1380	6188	9

W08-0326	6188	9

W08-0409	6188	9

D07-1066	6773	9

L08-1213	6773	9

W06-2109	6773	9

P07-1039	7832	9

W04-1711	8381	9

D07-1012	8626	9

P08-2056	8626	9

W07-2204	8626	9

W09-3827	8626	9

C04-1154	8751	9

C08-1139	8751	9

D09-1039	8751	9

D09-1123	8751	9

E09-1063	8751	9

J03-3004	8751	9

J05-3003	8751	9

L08-1470	8751	9

P04-1041	8751	9

P04-1047	8751	9

P07-1037	8751	9

P07-1039	8751	9

W05-0833	8751	9

W06-3112	8751	9

W07-0411	8751	9

W07-0714	8751	9

W08-0326	8751	9

W08-0409	8751	9

W09-0416	8751	9

W09-1509	8751	9

W09-3523	8751	9

I08-6005	9311	9

W07-0911	9311	9

E09-1010	9465	9

W09-3523	10011	9

L08-1470	10540	9

W08-0409	11037	9

W08-0326	11086	9

C08-1139	11319	9

W09-3823	11450	9

W09-0416	11580	9

W09-3823	11684	9

W09-0416	11726	9

P09-3009	12083	9

D09-1039	12110	9

W09-0416	12110	9

W09-3523	12282	9

W09-0806	12332	9

C08-1038	12888	9

D07-1012	12888	9

D07-1027	12888	9

D07-1028	12888	9

D07-1066	12888	9

J05-3003	12888	9

L08-1115	12888	9

L08-1176	12888	9

L08-1246	12888	9

P04-1041	12888	9

P04-1047	12888	9

P08-2056	12888	9

W04-1711	12888	9

W06-2109	12888	9

W06-3112	12888	9

W07-0411	12888	9

W07-0714	12888	9

W07-2204	12888	9

W09-0806	12888	9

W09-3823	12888	9

L08-1176	13154	9

P06-2018	13154	9

W06-1522	14294	9

W07-2204	14294	9

L08-1246	20191	9

W04-1711	21867	9

I08-2077	404	10

I08-2095	404	10

I08-3012	404	10

I08-3015	404	10

I08-5002	404	10

I08-5006	404	10

I08-5008	404	10

I08-6008	404	10

I08-6011	404	10

I08-7001	404	10

P06-2025	404	10

P09-2038	404	10

W06-1908	404	10

W06-2113	404	10

W07-2043	404	10

W09-2820	404	10

W09-3411	404	10

W09-3517	404	10

W09-3539	404	10

I08-2077	2085	10

I08-5006	2085	10

I08-5008	2085	10

I08-6011	2085	10

I08-7001	2085	10

P06-2025	2085	10

W09-3517	2085	10

W09-3539	2085	10

I08-6011	5828	10

P06-2025	5828	10

W06-2113	5828	10

W07-2043	5828	10

W06-1908	6759	10

W06-1908	6762	10

I08-5006	9737	10

W09-3517	9737	10

I08-6011	9942	10

I08-2077	10011	10

I08-5006	10011	10

I08-6011	10011	10

I08-6011	10522	10

W09-3517	10522	10

I08-2095	10671	10

I08-6008	10671	10

I08-5006	10733	10

W09-3411	11391	10

P09-2038	11549	10

W09-3411	11549	10

W09-2820	11698	10

L08-1520	9055	11

E03-1010	9076	11

L08-1520	10012	11

L08-1520	10225	11

L08-1520	11271	11

W03-2107	41	12

C00-2131	257	12

I05-2025	1821	12

I05-1079	2501	12

I05-5004	2501	12

P06-2042	3064	12

I05-6004	3148	12

P06-2046	3148	12

W00-1016	3292	12

W09-3946	3574	12

W04-1305	3603	12

I05-6002	3615	12

C02-1152	3645	12

C00-1063	3857	12

I05-6002	3893	12

I08-2100	3893	12

W06-1302	3897	12

C00-1063	3988	12

H01-1043	3988	12

C00-1068	3989	12

C02-1152	3989	12

C04-1158	3989	12

C04-1159	3989	12

C08-2015	3989	12

H05-1126	3989	12

L08-1504	3989	12

P03-1033	3989	12

P03-2027	3989	12

P06-2042	3989	12

W03-2107	3989	12

C04-1149	4064	12

I05-2020	4064	12

W06-1703	4064	12

C02-1084	4187	12

C00-1068	4277	12

C02-1152	4277	12

C04-1158	4277	12

I08-1028	4277	12

N09-2034	4277	12

P03-1033	4277	12

P03-2027	4277	12

P09-2023	4277	12

W03-2107	4277	12

W06-1302	4277	12

W09-3946	4277	12

C00-1063	4454	12

C00-2131	4454	12

C08-1054	4454	12

C08-1097	4454	12

C08-1132	4454	12

D07-1032	4454	12

D08-1045	4454	12

D09-1151	4454	12

E09-1020	4454	12

H01-1043	4454	12

I08-1025	4454	12

I08-2080	4454	12

I08-2110	4454	12

L08-1417	4454	12

N07-2051	4454	12

N09-1059	4454	12

P07-2035	4454	12

P08-2018	4454	12

P09-2013	4454	12

W00-1016	4454	12

W00-1310	4454	12

W06-0123	4454	12

W09-2302	4454	12

W09-2908	4454	12

W09-3817	4454	12

W06-2404	5295	12

C04-1158	5539	12

H05-1126	5539	12

P03-2027	5539	12

C08-1113	5654	12

I05-2025	5787	12

W09-2302	5809	12

I08-1028	6062	12

N09-2034	6062	12

W06-1302	6062	12

W09-3946	6062	12

C02-1152	6116	12

C04-1047	6116	12

C04-1158	6116	12

I08-1028	6116	12

N09-2034	6116	12

P03-1033	6116	12

P03-1039	6116	12

W03-2107	6116	12

W06-1302	6116	12

W09-3946	6116	12

W00-1310	6153	12

E06-1029	6897	12

E06-1029	7181	12

I05-2020	7181	12

P03-2020	7181	12

W06-1703	7181	12

D09-1151	7183	12

N09-1059	7183	12

C04-1149	7194	12

P02-1028	7194	12

P03-2020	7194	12

P03-2037	7194	12

W04-2012	7194	12

I08-1025	7462	12

I08-2110	7462	12

W09-2908	7462	12

W06-2404	7479	12

I08-1025	7497	12

L08-1417	7497	12

C04-1159	7502	12

I05-2020	7979	12

W06-1703	7979	12

W06-2404	7979	12

E06-1029	8246	12

I05-2020	8246	12

W04-2012	8246	12

W06-1703	8246	12

P03-2037	8308	12

P03-1033	8378	12

W03-2107	8378	12

C04-1149	8413	12

E03-1023	8413	12

E06-1029	8413	12

I05-2020	8413	12

N04-4004	8413	12

W04-2012	8413	12

C08-1132	9203	12

N07-2051	9203	12

I08-1028	9885	12

W09-3946	9885	12

I08-2110	10013	12

D08-1045	10557	12

L08-1436	10573	12

I08-2110	10639	12

W08-0117	11053	12

W09-2908	11635	12

N09-2034	11813	12

E09-1020	13181	12

C08-1029	2501	13

I08-1070	2501	13

W06-1407	2501	13

W07-1425	2501	13

C08-1100	3026	13

I08-1072	3026	13

N09-1022	3026	13

P06-1045	3026	13

P08-3001	3026	13

C02-1107	3588	13

C02-1136	3588	13

W07-1425	3966	13

I05-4006	3968	13

W07-1425	3969	13

P09-2011	3972	13

W04-0302	3972	13

C02-1107	3986	13

C02-1136	3986	13

I05-4006	3986	13

W03-2112	3986	13

C02-1107	4143	13

I05-1020	4184	13

I05-1020	4908	13

W04-1122	5009	13

C02-1107	5281	13

C02-1136	5281	13

C08-2030	5281	13

I05-4006	5281	13

L08-1292	5281	13

L08-1421	5281	13

L08-1490	5281	13

P06-1022	5281	13

P06-2088	5281	13

P09-1060	5281	13

P09-2011	5281	13

W03-2112	5281	13

W04-0302	5281	13

L08-1230	5295	13

W07-1109	5295	13

C02-1136	5732	13

P09-1060	5734	13

C02-1098	5764	13

C02-2006	5764	13

C02-2008	5764	13

C08-1100	6064	13

I08-1072	6064	13

P06-1045	6064	13

P06-1022	6085	13

P09-1060	6085	13

P06-2088	7048	13

C08-1029	7194	13

E06-1029	7194	13

I05-2020	7194	13

I08-1070	7194	13

I08-2094	7194	13

L08-1230	7194	13

P06-2046	7194	13

W06-1407	7194	13

W06-1703	7194	13

W06-2404	7194	13

W07-1109	7194	13

W07-1425	7194	13

C08-1100	8265	13

I08-1072	8265	13

P06-1045	8265	13

C02-1107	9046	13

I05-4006	9046	13

W03-2112	9046	13

P03-2025	9172	13

W03-1108	9172	13

W03-1120	9172	13

I08-7007	9621	13

L08-1505	10014	13

L08-1373	10226	13

L08-1505	10226	13

L08-1230	10245	13

C08-2030	10256	13

L08-1292	10256	13

L08-1421	10256	13

L08-1505	10280	13

I08-7007	10489	13

L08-1373	10507	13

L08-1505	10507	13

L08-1505	10613	13

L08-1490	10656	13

L08-1505	10667	13

L08-1373	11056	13

L08-1505	11056	13

C08-2030	11088	13

L08-1292	11088	13

L08-1421	11088	13

L08-1490	11088	13

H01-1028	22	14

W01-1607	22	14

H01-1017	477	14

H01-1025	477	14

H01-1028	477	14

N04-3004	477	14

W04-0818	477	14

W04-2903	799	14

W01-1201	828	14

N03-2004	924	14

W02-2003	924	14

W04-0818	924	14

W05-1209	924	14

W03-0705	929	14

E06-2012	1167	14

N04-3004	1322	14

W03-1301	1469	14

H01-1028	1660	14

H01-1038	1660	14

N04-3004	1660	14

W01-1607	1660	14

H01-1038	1710	14

L08-1051	1710	14

W00-0736	1710	14

H01-1038	1805	14

H01-1017	1951	14

H01-1025	1951	14

H01-1028	1951	14

W01-1607	1951	14

W03-0705	1951	14

E06-2012	2314	14

H01-1031	2314	14

H01-1038	2314	14

N04-1009	2314	14

W01-1312	2314	14

W05-1209	2314	14

H01-1029	2353	14

W04-2903	2353	14

H01-1025	2677	14

W03-0705	2698	14

E06-2012	2714	14

W04-2903	2821	14

W03-0705	2887	14

W04-0818	2891	14

H01-1029	2892	14

N04-1009	2892	14

N04-4024	2892	14

W04-2903	2892	14

H01-1038	2900	14

W03-0705	3120	14

A00-2005	3243	14

H01-1038	3243	14

N03-2004	3243	14

N04-3004	3243	14

N04-4024	3243	14

W00-1304	3243	14

W02-2003	3243	14

W03-0306	3243	14

W05-0832	3243	14

H01-1028	3324	14

H01-1038	3324	14

N04-3004	3324	14

W01-1607	3324	14

W03-1301	3324	14

E06-2012	3335	14

J04-3003	3335	14

L08-1017	3335	14

L08-1051	3335	14

P00-1051	3335	14

P04-1019	3335	14

W04-2903	3444	14

W03-0705	4305	14

H01-1029	4435	14

H01-1038	4456	14

W01-1201	4814	14

W03-0705	4940	14

E06-2012	4985	14

N07-2046	4985	14

H01-1038	5139	14

L08-1017	5139	14

H01-1038	5178	14

W01-1002	5321	14

H01-1038	5368	14

N04-3004	5652	14

N04-4024	5652	14

W02-2003	5652	14

W05-0832	5652	14

E06-2012	5722	14

H01-1038	6019	14

H01-1034	6230	14

W00-0602	6230	14

E06-2012	6231	14

W06-1001	6404	14

H01-1038	6537	14

H01-1029	6840	14

N04-3004	8361	14

E06-2012	8574	14

N07-2046	8574	14

W00-0736	8574	14

W09-1124	8574	14

E06-2012	8798	14

H01-1038	8798	14

L08-1017	8798	14

W04-0818	8798	14

W09-1124	8798	14

C00-2137	9130	14

C00-2175	9130	14

H01-1038	9130	14

P00-1017	9130	14

